,p,q,d,s,t,AIC,BIC,HQIC,LLF,MAE,MSE,SSE
0,0,0,0,0,8,5527.068894301451,5535.370099838344,5530.335094654031,-2761.5344471507256,71.84005440533222,7618.91486781045,3573271.073003101
1,0,0,0,0,9,5527.068894301451,5535.370099838344,5530.335094654031,-2761.5344471507256,71.84005440533222,7618.91486781045,3573271.073003101
2,0,0,0,0,10,5527.068894301451,5535.370099838344,5530.335094654031,-2761.5344471507256,71.84005440533222,7618.91486781045,3573271.073003101
3,0,0,0,0,11,5527.068894301451,5535.370099838344,5530.335094654031,-2761.5344471507256,71.84005440533222,7618.91486781045,3573271.073003101
4,0,0,0,0,12,5527.068894301451,5535.370099838344,5530.335094654031,-2761.5344471507256,71.84005440533222,7618.91486781045,3573271.073003101
5,0,0,0,1,8,5501.524677517424,5513.976485822763,5506.423978046294,-2747.762338758712,68.84188019667857,7190.26375960705,3372233.7032557065
6,0,0,0,1,9,5497.651359513467,5510.103167818806,5502.550660042338,-2745.8256797567333,68.77810240061882,7131.314591635767,3344586.543477175
7,0,0,0,1,10,5528.6803714131875,5541.1321797185265,5533.579671942058,-2761.3401857065937,71.65171191626627,7612.708683837533,3570360.372719803
8,0,0,0,1,11,5472.379897209015,5484.831705514354,5477.279197737886,-2733.1899486045077,66.85945793575908,6765.140894681712,3172851.079605723
9,0,0,0,1,12,5363.71961242365,5376.171420728989,5368.618912952521,-2678.859806211825,58.48691649613023,5397.210554019897,2531291.749835332
10,0,0,0,2,8,5450.646813556195,5467.249224629981,5457.179214261357,-2721.3234067780977,64.54509659456909,6433.743778966166,3017425.832335132
11,0,0,0,2,9,5499.502520152086,5516.104931225871,5506.034920857247,-2745.751260076043,68.82513277332919,7129.09741417186,3343546.687246602
12,0,0,0,2,10,5499.897718038952,5516.500129112737,5506.430118744113,-2745.948859019476,69.16618841796158,7135.932437894376,3346752.313372462
13,0,0,0,2,11,5463.618062625652,5480.220473699437,5470.150463330813,-2727.809031312826,65.62812510306513,6613.236450715264,3101607.895385459
14,0,0,0,2,12,5336.463660578333,5353.066071652118,5342.996061283494,-2664.2318302891663,57.02842751898273,5077.795209993372,2381485.9534868915
15,0,0,0,3,8,5386.699101591085,5407.452115433317,5394.864602472537,-2688.3495507955427,60.248217497132146,5606.074956587315,2629249.154639451
16,0,0,0,3,9,5458.059736412399,5478.81275025463,5466.22523729385,-2724.0298682061994,64.24030502520561,6508.072468891417,3052285.9879100746
17,0,0,0,3,10,5500.342484639637,5521.095498481869,5508.507985521089,-2745.1712423198187,69.09737189390641,7112.617166225503,3335817.4509597607
18,0,0,0,3,11,5445.265530651099,5466.01854449333,5453.43103153255,-2717.6327653255494,64.46546254963947,6334.508217022444,2970884.3537835265
19,0,0,0,3,12,5290.142375088959,5310.895388931191,5298.30787597041,-2640.0711875444795,54.08857449581902,4588.154416584877,2151844.4213783075
20,0,0,0,4,8,5377.71502199307,5402.618638603748,5387.5136230508115,-2682.857510996535,58.980802190397455,5478.714323602855,2569517.017769739
21,0,0,0,4,9,5351.33509442936,5376.238711040038,5361.133695487101,-2669.66754721468,56.66277637849914,5182.683502501038,2430678.5626729866
22,0,0,0,4,10,5451.812968321869,5476.716584932547,5461.611569379611,-2719.9064841609347,65.05545268032496,6388.158412926616,2996046.295662583
23,0,0,0,4,11,5434.219216350364,5459.122832961042,5444.017817408106,-2711.109608175182,63.22044704849833,6162.182501588938,2890063.593245212
24,0,0,0,4,12,5277.57267417235,5302.476290783028,5287.371275230092,-2632.786337086175,52.84448116285086,4441.557882990078,2083090.6471223463
25,0,0,1,0,8,5439.935470609608,5452.387278914947,5444.8347711384795,-2716.967735304804,65.45514263700967,6305.5440525121285,2957300.1606281884
26,0,0,1,0,9,5439.935470609608,5452.387278914947,5444.8347711384795,-2716.967735304804,65.45514263700967,6305.5440525121285,2957300.1606281884
27,0,0,1,0,10,5439.935470609608,5452.387278914947,5444.8347711384795,-2716.967735304804,65.45514263700967,6305.5440525121285,2957300.1606281884
28,0,0,1,0,11,5439.935470609608,5452.387278914947,5444.8347711384795,-2716.967735304804,65.45514263700967,6305.5440525121285,2957300.1606281884
