,p,q,d,s,t,AIC,BIC,HQIC,LLF,MAE,MSE,SSE
0,0,0,0,0,8,715.6380988064991,723.9605134498893,718.9111898149904,-355.81904940324955,0.41879595508964673,0.2627556236536168,124.54616561181437
1,0,0,0,0,9,715.6380988064991,723.9605134498893,718.9111898149904,-355.81904940324955,0.41879595508964673,0.2627556236536168,124.54616561181437
2,0,0,0,0,10,715.6380988064991,723.9605134498893,718.9111898149904,-355.81904940324955,0.41879595508964673,0.2627556236536168,124.54616561181437
3,0,0,0,0,11,715.6380988064991,723.9605134498893,718.9111898149904,-355.81904940324955,0.41879595508964673,0.2627556236536168,124.54616561181437
4,0,0,0,0,12,715.6380988064991,723.9605134498893,718.9111898149904,-355.81904940324955,0.41879595508964673,0.2627556236536168,124.54616561181437
5,0,0,0,1,8,717.6380879345459,730.1217098996311,722.5477244472828,-355.81904396727293,0.41878748887560513,0.26275561762709554,124.54616275524327
6,0,0,0,1,9,699.5161821219701,711.9998040870554,704.4258186347071,-346.75809106098507,0.4142422672066763,0.25300043988384324,119.9222085049417
7,0,0,0,1,10,650.1081967027649,662.5918186678501,655.0178332155018,-322.05409835138244,0.38937565969847904,0.2284857529175435,108.30224688291563
8,0,0,0,1,11,583.34060130596,595.8242232710453,588.250237818697,-288.67030065298,0.35415457548674517,0.19950797073347418,94.56677812766677
9,0,0,0,1,12,526.9875758916718,539.471197856757,531.8972124044087,-260.4937879458359,0.33316344094700123,0.1780604414701397,84.40064925684621
10,0,0,0,2,8,710.3581780281005,727.0030073148808,716.9043600450831,-351.17908901405025,0.41039283560065476,0.25773272093709815,122.16530972418451
11,0,0,0,2,9,627.007847914554,643.6526772013343,633.5540299315365,-309.503923957277,0.36931470070387895,0.21658794300603942,102.6626849848627
12,0,0,0,2,10,588.005347616305,604.6501769030854,594.5515296332876,-290.0026738081525,0.35574885996533456,0.20017281765138054,94.88191556675437
13,0,0,0,2,11,580.3664402102163,597.0112694969966,586.9126222271989,-286.18322010510815,0.3517131122200679,0.1974115734141372,93.57308579830104
14,0,0,0,2,12,528.7581127853521,545.4029420721324,535.3042948023347,-260.37905639267603,0.33331720565425627,0.17782871793405491,84.29081230074203
15,0,0,0,3,8,649.8306552362297,670.6366918447052,658.013382757458,-319.9153276181149,0.37811997061411906,0.22655009262850664,107.38474390591215
16,0,0,0,3,9,612.1574456465719,632.9634822550473,620.3401731678001,-301.07872282328594,0.3588925944815577,0.20929599968074775,99.20630384867444
17,0,0,0,3,10,565.5934116033277,586.3994482118031,573.7761391245559,-277.79670580166385,0.34496155874913403,0.19032677483698793,90.21489127273227
18,0,0,0,3,11,627.3395455460513,648.1455821545268,635.5222730672796,-308.66977277302567,0.37398037036818355,0.21535983361786226,102.08056113486671
19,0,0,0,3,12,629.0958528386972,649.9018894471726,637.2785803599254,-309.5479264193486,0.37227329856276065,0.2192720951996039,103.93497312461224
20,0,0,0,4,8,620.9842151986816,645.951459128852,630.8034882241554,-304.4921075993408,0.3631359350244043,0.21274443474909907,100.84086207107296
21,0,0,0,4,9,575.3954653462636,600.362709276434,585.2147383717374,-281.6977326731318,0.3471927971669169,0.19367867937406405,91.80369402330636
22,0,0,0,4,10,560.558292939043,585.5255368692134,570.3775659645169,-274.2791464695215,0.34317766675044686,0.18777998090878578,89.00771095076446
23,0,0,0,4,11,618.0404887833135,643.007732713484,627.8597618087874,-303.0202443916568,0.3634861061910151,0.2119411870282364,100.46012265138405
24,0,0,0,4,12,630.2240749583495,655.19131888852,640.0433479838234,-309.1120374791748,0.3760211944443693,0.21796614688909532,103.31595362543118
25,0,0,1,0,8,476.5159641522123,488.9995861172975,481.42560066494923,-235.25798207610615,0.31183215567820954,0.1583303119611804,75.04856786959951
26,0,0,1,0,9,476.5159641522123,488.9995861172975,481.42560066494923,-235.25798207610615,0.31183215567820954,0.1583303119611804,75.04856786959951
27,0,0,1,0,10,476.5159641522123,488.9995861172975,481.42560066494923,-235.25798207610615,0.31183215567820954,0.1583303119611804,75.04856786959951
28,0,0,1,0,11,476.5159641522123,488.9995861172975,481.42560066494923,-235.25798207610615,0.31183215567820954,0.1583303119611804,75.04856786959951
29,0,0,1,0,12,476.5159641522123,488.9995861172975,481.42560066494923,-235.25798207610615,0.31183215567820954,0.1583303119611804,75.04856786959951
30,0,0,1,1,8,478.43796517661065,495.08279446339094,484.98414719359323,-235.21898258830532,0.31215202422027427,0.15830526727734506,75.03669668946156
31,0,0,1,1,9,471.5775228875786,488.2223521743589,478.1237049045612,-231.7887614437893,0.3125396331458929,0.15603515821901742,73.96066499581426
32,0,0,1,1,10,441.01319741418973,457.65802670097,447.5593794311723,-216.50659870709487,0.3008200509322324,0.14639362747351015,69.3905794224438
33,0,0,1,1,11,426.7257185050462,443.3705477918265,433.2719005220288,-209.3628592525231,0.2944167280935738,0.14215735558390513,67.38258654677104
34,0,0,1,1,12,358.14901188272165,374.79384116950195,364.69519389970424,-175.07450594136083,0.2737109131381909,0.12341218407275757,58.49737525048709
