;p;q;d;s;t;AIC;BIC;HQIC;LLF;MAE;MSE;SSE
0;0;0;0;0;8;918.8022207010795;927.1246353444697;922.0753117095708;-457.40111035053974;0.5147643717805859;0.4033645338175861;191.1947890295358
1;0;0;0;0;9;918.8022207010795;927.1246353444697;922.0753117095708;-457.40111035053974;0.5147643717805859;0.4033645338175861;191.1947890295358
2;0;0;0;0;10;918.8022207010795;927.1246353444697;922.0753117095708;-457.40111035053974;0.5147643717805859;0.4033645338175861;191.1947890295358
3;0;0;0;0;11;918.8022207010795;927.1246353444697;922.0753117095708;-457.40111035053974;0.5147643717805859;0.4033645338175861;191.1947890295358
4;0;0;0;0;12;918.8022207010795;927.1246353444697;922.0753117095708;-457.40111035053974;0.5147643717805859;0.4033645338175861;191.1947890295358
5;0;0;0;1;8;1207.6104422738877;1220.0940642389728;1212.5200787866247;-600.8052211369438;0.6970259657228247;0.76216150910393;361.26455531526284
6;0;0;0;1;9;1206.2702831041245;1218.7539050692096;1211.1799196168615;-600.1351415520622;0.6204386298727899;0.6198131817271825;293.7914481386845
7;0;0;0;1;10;880.9000296765204;893.3836516416056;885.8096661892573;-437.4500148382602;0.48963178941867713;0.3716397266017387;176.15723040922416
8;0;0;0;1;11;861.3712253371451;873.8548473022304;866.2808618498821;-427.68561266857256;0.48015926347718246;0.3571841710639605;169.3052970843173
9;0;0;0;1;12;845.5312654690326;858.0148874341179;850.4409019817696;-419.7656327345163;0.4640190654539849;0.3458694002508493;163.94209571890255
10;0;0;0;2;8;910.349015062442;926.9938443492224;916.8951970794246;-451.174507531221;0.5066460804363233;0.39315162646834495;186.3538709459955
11;0;0;0;2;9;871.894405580706;888.5392348674864;878.4405875976886;-431.947202790353;0.4862272607770222;0.3631522852760524;172.13418322084885
12;0;0;0;2;10;864.052446541706;880.6972758284863;870.5986285586886;-428.026223270853;0.47207919133169796;0.35749824419185405;169.45416774693882
13;0;0;0;2;11;863.2029655741596;879.84779486094;869.7491475911422;-427.6014827870798;0.48003004528588955;0.35706223760021844;169.24750062250354
14;0;0;0;2;12;843.7413876782241;860.3862169650045;850.2875696952067;-417.87069383911205;0.4618142424663137;0.3431435988045804;162.65006583337112
15;0;0;0;3;8;883.6182528267739;904.4242894352493;891.8009803480021;-436.80912641338693;0.488948132312453;0.3709239250946184;175.81794049484913
16;0;0;0;3;9;868.4961696225855;889.302206231061;876.6788971438137;-429.24808481129276;0.48410847184403916;0.3591015036618502;170.21411273571698
17;0;0;0;3;10;862.5299366832031;883.3359732916786;870.7126642044313;-426.26496834160156;0.4689472510168312;0.35510810772441925;168.32124306137473
18;0;0;0;3;11;868.3819477553238;889.1879843637993;876.5646752765521;-429.1909738776619;0.4829268117326502;0.35917090351456266;170.2470082659027
19;0;0;0;3;12;811.3852766477178;832.1913132561932;819.568004168946;-400.6926383238589;0.44775387516908766;0.3196876558003911;151.53194884938537
20;0;0;0;4;8;875.1291567911559;900.0964007213263;884.9484298166298;-431.56457839557794;0.4826640689018709;0.36366102085385105;172.3753238847254
21;0;0;0;4;9;835.9457110046627;860.9129549348331;845.7649840301366;-411.97285550233136;0.46369817374517713;0.33449105690309017;158.54876097206474
22;0;0;0;4;10;863.5052720710073;888.4725160011777;873.3245450964812;-425.75263603550366;0.4701971279244213;0.3543781411963025;167.9752389270474
23;0;0;0;4;11;862.2540245416699;887.2212684718403;872.0732975671438;-425.12701227083494;0.4782070673039338;0.35360361441720445;167.60811323375492
24;0;0;0;4;12;830.8007000648117;855.7679439949821;840.6199730902856;-409.40035003240587;0.45676844684793794;0.33087525769838233;156.83487214903323
25;0;0;1;0;8;721.6031684339262;734.0867903990114;726.5128049466631;-357.8015842169631;0.4134787028716789;0.2658466807939524;126.01132669633344
26;0;0;1;0;9;721.6031684339262;734.0867903990114;726.5128049466631;-357.8015842169631;0.4134787028716789;0.2658466807939524;126.01132669633344
27;0;0;1;0;10;721.6031684339262;734.0867903990114;726.5128049466631;-357.8015842169631;0.4134787028716789;0.2658466807939524;126.01132669633344
28;0;0;1;0;11;721.6031684339262;734.0867903990114;726.5128049466631;-357.8015842169631;0.4134787028716789;0.2658466807939524;126.01132669633344
29;0;0;1;0;12;721.6031684339262;734.0867903990114;726.5128049466631;-357.8015842169631;0.4134787028716789;0.2658466807939524;126.01132669633344
30;0;0;1;1;8;1274.0164880160146;1290.661317302795;1280.5626700329972;-633.0082440080073;0.7373082869703051;0.8392883546549543;397.82268010644833
31;0;0;1;1;9;1041.9850225899058;1058.6298518766862;1048.5312046068884;-516.9925112949529;0.5734268521378446;0.6037758445878523;286.189750334642
32;0;0;1;1;10;705.7934027924309;722.4382320792113;712.3395848094135;-348.89670139621546;0.40387313528531515;0.25618957181767504;121.43385704157797
33;0;0;1;1;11;699.0992171462119;715.7440464329923;705.6453991631945;-345.54960857310596;0.40259638458114594;0.2527090817256193;119.78410473794355
34;0;0;1;1;12;682.3209845018989;698.9658137886793;688.8671665188815;-337.16049225094946;0.3923380485127269;0.24412287689440026;115.71424364794572
35;0;0;1;2;8;718.4459159707249;739.2519525792003;726.6286434919531;-354.2229579853624;0.41194094357970545;0.2619501048503492;124.16434969906551
36;0;0;1;2;9;697.8439938718336;718.650030480309;706.0267213930618;-343.9219969359168;0.4084280784494665;0.2509548668280335;118.95260687648786
