;p;q;d;s;t;AIC;BIC;HQIC;LLF;MAE;MSE;SSE
0;0;0;0;0;8;5622.742923275094;5631.044128811986;5626.009123627674;-2809.371461637547;80.46678183859865;9343.021968530786;4381877.303240938
1;0;0;0;0;9;5622.742923275094;5631.044128811986;5626.009123627674;-2809.371461637547;80.46678183859865;9343.021968530786;4381877.303240938
2;0;0;0;0;10;5622.742923275094;5631.044128811986;5626.009123627674;-2809.371461637547;80.46678183859865;9343.021968530786;4381877.303240938
3;0;0;0;0;11;5622.742923275094;5631.044128811986;5626.009123627674;-2809.371461637547;80.46678183859865;9343.021968530786;4381877.303240938
4;0;0;0;0;12;5622.742923275094;5631.044128811986;5626.009123627674;-2809.371461637547;80.46678183859865;9343.021968530786;4381877.303240938
5;0;0;0;1;8;5563.777271160012;5576.229079465351;5568.676571688882;-2778.888635580006;73.15039879397048;8205.818789753082;3848529.012394196
6;0;0;0;1;9;5618.824840499017;5631.276648804356;5623.7241410278875;-2806.4124202495086;79.313110739061;9225.675379176233;4326841.752833653
7;0;0;0;1;10;5606.216860806873;5618.668669112212;5611.1161613357435;-2800.1084304034366;78.6338297540666;8980.128909245153;4211680.458435977
8;0;0;0;1;11;5494.458262124313;5506.910070429652;5499.357562653184;-2744.2291310621563;67.89606777030212;7072.3836406229475;3316947.9274521624
9;0;0;0;1;12;5329.988631773809;5342.440440079148;5334.8879323026795;-2661.9943158869046;53.5780665163889;4993.050233245177;2341740.559391988
10;0;0;0;2;8;5471.057078560112;5487.6594896338975;5477.589479265273;-2731.528539280056;64.88943083915514;6708.475617812015;3146275.064753835
11;0;0;0;2;9;5560.697213890833;5577.2996249646185;5567.2296145959945;-2776.3486069454166;71.40078237089227;8118.124170106432;3807400.2357799164
12;0;0;0;2;10;5537.184033964483;5553.7864450382685;5543.7164346696445;-2764.5920169822416;70.20061368313368;7718.740441264268;3620089.2669529417
13;0;0;0;2;11;5487.582503916665;5504.18491499045;5494.114904621826;-2739.7912519583324;66.93937932898297;6938.987364723993;3254385.0740555525
