;p;q;d;s;t;AIC;BIC;HQIC;LLF;MAE;MSE;SSE
0;0;0;0;0;8;1328.100876647938;1336.4190674249219;1331.3725963049142;-662.050438323969;0.765647725566472;0.9622225996629853;455.13128964059206
1;0;0;0;0;9;1328.100876647938;1336.4190674249219;1331.3725963049142;-662.050438323969;0.765647725566472;0.9622225996629853;455.13128964059206
2;0;0;0;0;10;1328.100876647938;1336.4190674249219;1331.3725963049142;-662.050438323969;0.765647725566472;0.9622225996629853;455.13128964059206
3;0;0;0;0;11;1328.100876647938;1336.4190674249219;1331.3725963049142;-662.050438323969;0.765647725566472;0.9622225996629853;455.13128964059206
4;0;0;0;0;12;1328.100876647938;1336.4190674249219;1331.3725963049142;-662.050438323969;0.765647725566472;0.9622225996629853;455.13128964059206
5;0;0;0;1;8;1431.1037565676488;1443.5810427331246;1436.0113360531127;-712.5518782838244;0.8705150269698274;1.1503441564117025;544.1127859827353
6;0;0;0;1;9;1226.3457309483665;1238.8230171138423;1231.2533104338304;-610.1728654741833;0.7007007711994143;0.7746641409973314;366.41613869173773
7;0;0;0;1;10;1165.246478932903;1177.7237650983789;1170.154058418367;-579.6232394664515;0.6547701086991579;0.6821382321640312;322.6513838135868
8;0;0;0;1;11;1084.2937747226422;1096.771060888118;1089.201354208106;-539.1468873613211;0.5817817053286148;0.5765401677691097;272.70349935478885
9;0;0;0;1;12;1059.5104521767203;1071.987738342196;1064.4180316621841;-526.7552260883601;0.5443685798575387;0.5473441946424618;258.8938040658844
10;0;0;0;2;8;1257.2302302857224;1273.8666118396902;1263.7736695996743;-624.6151151428612;0.7254608377487635;0.8225035562351637;389.04418209923244
11;0;0;0;2;9;1225.9699216461443;1242.606303200112;1232.5133609600962;-608.9849608230721;0.6975157960594631;0.7708075879558802;364.59198910313137
12;0;0;0;2;10;1156.2743311543559;1172.9107127083237;1162.8177704683078;-574.1371655771779;0.6490211654803447;0.6667448179495369;315.3702988901309
