,p,q,d,s,t,AIC,BIC,HQIC,LLF,MAE,MSE,SSE
0,0,0,0,0,8,811.7714197333646,820.0938343767548,815.0445107418559,-403.8857098666823,0.45614662890905977,0.32183446385016656,152.54953586497896
1,0,0,0,0,9,811.7714197333646,820.0938343767548,815.0445107418559,-403.8857098666823,0.45614662890905977,0.32183446385016656,152.54953586497896
2,0,0,0,0,10,811.7714197333646,820.0938343767548,815.0445107418559,-403.8857098666823,0.45614662890905977,0.32183446385016656,152.54953586497896
3,0,0,0,0,11,811.7714197333646,820.0938343767548,815.0445107418559,-403.8857098666823,0.45614662890905977,0.32183446385016656,152.54953586497896
4,0,0,0,0,12,811.7714197333646,820.0938343767548,815.0445107418559,-403.8857098666823,0.45614662890905977,0.32183446385016656,152.54953586497896
5,0,0,0,1,8,952.1623629745718,964.6459849396571,957.0719994873087,-473.0811814872859,0.5241908955613397,0.4295767947304197,203.61940070221894
6,0,0,0,1,9,948.7303151708994,961.2139371359847,953.6399516836364,-471.3651575854497,0.514114997309179,0.42139860670556006,199.74293957843548
7,0,0,0,1,10,938.978442232519,951.4620641976043,943.8880787452559,-466.4892211162595,0.48365475857116363,0.3912907508224089,185.4718158898218
8,0,0,0,1,11,930.816301411019,943.2999233761043,935.725937923756,-462.4081507055095,0.5008267001957891,0.40061868253309146,189.89325552068536
9,0,0,0,1,12,919.3075764516594,931.7911984167447,924.2172129643964,-456.6537882258297,0.48963872200267305,0.39451273606309367,186.9990368939064
10,0,0,0,2,8,8.0,24.644829286780308,14.546182016982598,0.0,51927350.73349042,2696449754198928.5,1.2781171834902922e+18
11,0,0,0,2,9,990.1250716692186,1006.769900955999,996.6712536862012,-491.0625358346093,0.5040785995383756,0.4096985720267895,194.1971231406982
12,0,0,0,2,10,8.0,24.644829286780308,14.546182016982598,0.0,494371775.4426988,2.4440345235436618e+17,1.1584723641596957e+20
13,0,0,0,2,11,1096.3348349003559,1112.9796641871362,1102.8810169173385,-544.1674174501779,0.8862482633916331,5.042864929248417,2390.3179764637493
14,0,0,0,2,12,998.2434456447093,1014.8882749314896,1004.7896276616918,-495.1217228223546,1.3605122785214592,30.707340761974397,14555.279521175864
15,0,0,0,3,8,877.6911259737448,898.4971625822202,885.873853494973,-433.8455629868724,0.4650242653472496,0.34357275605730875,162.85348637116434
16,0,0,0,3,9,851.2422072341719,872.0482438426474,859.4249347554002,-420.62110361708596,0.4457399079103657,0.3143566701193117,149.00506163655373
17,0,0,0,3,10,900.6613087251033,921.4673453335787,908.8440362463315,-445.3306543625516,0.46834306312250545,0.3609934140461581,171.11087825787894
18,0,0,0,3,11,874.974274653287,895.7803112617624,883.1570021745152,-432.4871373266435,0.4592818735512641,0.3298784162704568,156.3623693121965
19,0,0,0,3,12,10.0,30.806036608475384,18.182727521228248,0.0,124204152.91800967,1.5426671602080328e+16,7.312242339386075e+18
20,0,0,0,4,8,946.8991551504502,971.8663990806206,956.718428175924,-467.4495775752251,0.5090288047994098,0.41814082076394227,198.19874904210863
21,0,0,0,4,9,794.518084982243,819.4853289124134,804.3373580077168,-391.2590424911215,0.43359509025815307,0.29573023597528647,140.17613185228578
22,0,0,0,4,10,1001.2981900889647,1026.2654340191352,1011.1174631144386,-494.64909504448235,0.7248184544871418,2.6485877208826896,1255.430579698395
23,0,0,0,4,11,975.9461215091059,1000.9133654392763,985.7653945345797,-481.97306075455293,0.6286515634749746,1.338039367196387,634.2306600510875
24,0,0,0,4,12,841.4123665498928,866.3796104800632,851.2316395753667,-414.7061832749464,0.4461977328362063,0.30722828079059644,145.62620509474272
25,0,0,1,0,8,577.0201867543774,589.5038087194627,581.9298232671143,-285.5100933771887,0.35355781341706777,0.1952569735844201,92.55180547901513
26,0,0,1,0,9,577.0201867543774,589.5038087194627,581.9298232671143,-285.5100933771887,0.35355781341706777,0.1952569735844201,92.55180547901513
27,0,0,1,0,10,577.0201867543774,589.5038087194627,581.9298232671143,-285.5100933771887,0.35355781341706777,0.1952569735844201,92.55180547901513
28,0,0,1,0,11,577.0201867543774,589.5038087194627,581.9298232671143,-285.5100933771887,0.35355781341706777,0.1952569735844201,92.55180547901513
29,0,0,1,0,12,577.0201867543774,589.5038087194627,581.9298232671143,-285.5100933771887,0.35355781341706777,0.1952569735844201,92.55180547901513
30,0,0,1,1,8,712.7955843214927,729.440413608273,719.3417663384753,-352.39779216074635,0.3960432539963245,0.2552732098575424,120.99950147247512
31,0,0,1,1,9,818.3271289021919,834.9719581889723,824.8733109191745,-405.16356445109597,0.4469926757594564,0.32120136899899937,152.2494489055257
32,0,0,1,1,10,765.2973341962098,781.9421634829902,771.8435162131924,-378.6486670981049,0.4017428787404795,0.26752984411254294,126.80914610934535
33,0,0,1,1,11,813.7086541192531,830.3534834060334,820.2548361362357,-402.85432705962654,0.45433732027085394,0.34063892983386784,161.46285274125336
34,0,0,1,1,12,773.2773747054289,789.9222039922092,779.8235567224115,-382.63868735271444,0.3959258921406372,0.259698764989903,123.09721460521403
35,0,0,1,2,8,1079.023079899961,1099.8291165084363,1087.2058074211893,-534.5115399499805,0.6362286858361815,0.9207569842878909,436.43881055246027
36,0,0,1,2,9,807.6910029002081,828.4970395086835,815.8737304214363,-398.84550145010405,0.45209807341081937,0.34651933187696293,164.25016330968043
37,0,0,1,2,10,,,,,,,
38,0,0,1,2,11,762.7934247604204,783.5994613688958,770.9761522816486,-376.3967123802102,0.4178378616681184,0.2692180438450146,127.60935278253692
39,0,0,1,2,12,1184.4453346683717,1205.251371276847,1192.6280621896,-587.2226673341859,0.7324709054544426,1.2996783626428505,616.0475438927111
40,0,0,1,3,8,1057.6241073382603,1082.5913512684308,1067.4433803637341,-522.8120536691301,0.5541243310708439,0.48406345272645807,229.44607659234111
41,0,0,1,3,9,711.99291360343,736.9601575336004,721.8121866289039,-349.996456801715,0.4150839982438119,0.2959368599715923,140.27407162653475
42,0,0,1,3,10,1136.1667164986602,1161.1339604288307,1145.985989524134,-562.0833582493301,0.6033428210767927,0.5768953236230459,273.4483833973237
43,0,0,1,3,11,713.3447799342246,738.312023864395,723.1640529596984,-350.6723899671123,0.39418650488803686,0.2407275036720838,114.10483674056772
44,0,0,1,3,12,1214.810508294186,1239.7777522243566,1224.62978131966,-601.405254147093,0.6454477467515198,0.6740973618599456,319.5221495216142
45,0,0,1,4,8,1050.1867227519665,1079.315174003832,1061.6425412816861,-518.0933613759832,0.5544382725816576,0.4863490577108342,230.5294533549354
46,0,0,1,4,9,1511.8434929635068,1540.9719442153723,1523.2993114932265,-748.9217464817534,1.623351373982291,42.05928599452328,19936.101561404033
47,0,0,1,4,10,1218.0942246651355,1247.222675917001,1229.550043194855,-602.0471123325677,0.9560599206566714,6.0362651625684505,2861.1896870574456
48,0,0,1,4,11,715.2142858663435,744.342737118209,726.670104396063,-350.60714293317176,0.3811695346614779,0.22688088000234452,107.5415371211113
49,0,0,1,4,12,1236.420298425105,1265.5487496769706,1247.8761169548247,-611.2101492125526,0.6480614247546226,0.6755053545824785,320.1895380720948
50,0,0,2,0,8,471.17856580552007,487.82339509230036,477.72474782250265,-231.58928290276003,0.31599252002725786,0.15553182233458,73.72208378659091
51,0,0,2,0,9,471.17856580552007,487.82339509230036,477.72474782250265,-231.58928290276003,0.31599252002725786,0.15553182233458,73.72208378659091
52,0,0,2,0,10,471.17856580552007,487.82339509230036,477.72474782250265,-231.58928290276003,0.31599252002725786,0.15553182233458,73.72208378659091
53,0,0,2,0,11,471.17856580552007,487.82339509230036,477.72474782250265,-231.58928290276003,0.31599252002725786,0.15553182233458,73.72208378659091
54,0,0,2,0,12,471.17856580552007,487.82339509230036,477.72474782250265,-231.58928290276003,0.31599252002725786,0.15553182233458,73.72208378659091
55,0,0,2,1,8,736.9610382408407,757.7670748493161,745.1437657620689,-363.48051912042035,0.4208691222303203,0.31283634284278583,148.28442650748048
56,0,0,2,1,9,711.5031146677672,732.3091512762427,719.6858421889955,-350.7515573338836,0.3929423725767361,0.24339752813191745,115.37042833452887
57,0,0,2,1,10,724.4151198419596,745.221156450435,732.5978473631878,-357.2075599209798,0.37891498260865447,0.23828269634417748,112.94599806714012
58,0,0,2,1,11,744.2782488303103,765.0842854387857,752.4609763515385,-367.13912441515515,0.4137549550076006,0.2786812547749468,132.0949147633248
59,0,0,2,1,12,1067.1471107829166,1087.953147391392,1075.329838304145,-528.5735553914583,1.4939203737439108,54.51979535282748,25842.382997240224
60,0,0,2,2,8,12.0,36.96724393017046,21.819273025473898,0.0,47943601992.294815,2.2985889719955756e+21,1.0895311727259029e+24
61,0,0,2,2,9,1830.7368106166614,1855.704054546832,1840.5560836421353,-909.3684053083307,3.7431429735847805,584.4246426671538,277017.28062423086
62,0,0,2,2,10,1090.8095219302822,1115.7767658604528,1100.6287949557561,-539.4047609651411,0.637411084494324,2.373549884705678,1125.0626453504915
63,0,0,2,2,11,1176.6701214963796,1201.63736542655,1186.4893945218535,-582.3350607481898,0.6031054980232156,0.5980350691565961,283.46862278022655
64,0,0,2,2,12,1566.7093677434782,1591.6766116736487,1576.528640768952,-777.3546838717391,0.8958923959911742,1.3373768442874086,633.9166241922317
65,0,0,2,3,8,1294.5731039636835,1323.701555215549,1306.0289224934031,-640.2865519818417,1.571215934531545,83.98858615276237,39810.58983640936
66,0,0,2,3,9,1101.1604506750373,1130.2889019269028,1112.616269204757,-543.5802253375186,0.7236961367722653,2.3449209964071964,1111.4925522970111
67,0,0,2,3,10,1313.9103803546773,1343.0388316065428,1325.366198884397,-649.9551901773386,0.7674241293191645,0.9595279808423441,454.81626291927114
68,0,0,2,3,11,1002.5549359867963,1031.683387238662,1014.0107545165158,-494.27746799339815,0.6813217563717475,2.0113346830477954,953.3726397646551
69,0,0,2,3,12,1538.453904622127,1567.5823558739926,1549.9097231518467,-762.2269523110635,0.9192833251773295,1.4002215811594674,663.7050294695875
70,0,0,2,4,8,1054.8367712145896,1088.1264297881503,1067.9291352485548,-519.4183856072948,0.5713164237785955,0.5818091528162262,275.77753843489126
71,0,0,2,4,9,959.6668199571939,992.9564785307545,972.759183991159,-471.83340997859693,0.48469161845687114,0.37610015992625795,178.27147580504626
72,0,0,2,4,10,1317.5428452886617,1350.8325038622224,1330.635209322627,-650.7714226443309,0.740895842630273,0.83442844488207,395.5190828741012
73,0,0,2,4,11,1293.6164622944557,1326.9061208680164,1306.7088263284209,-638.8082311472278,2.2128285248740656,143.0032603085642,67783.54538625943
74,0,0,2,4,12,1732.1606639967495,1765.4503225703102,1745.2530280307146,-858.0803319983747,1.1249262255467356,2.165856123478646,1026.6158025288782
75,0,0,3,0,8,417.6562065579693,438.4622431664447,425.83893407919754,-203.82810327898466,0.29689007055349204,0.13835544793189486,65.58048231971816
76,0,0,3,0,9,417.6562065579693,438.4622431664447,425.83893407919754,-203.82810327898466,0.29689007055349204,0.13835544793189486,65.58048231971816
77,0,0,3,0,10,417.6562065579693,438.4622431664447,425.83893407919754,-203.82810327898466,0.29689007055349204,0.13835544793189486,65.58048231971816
78,0,0,3,0,11,417.6562065579693,438.4622431664447,425.83893407919754,-203.82810327898466,0.29689007055349204,0.13835544793189486,65.58048231971816
79,0,0,3,0,12,417.6562065579693,438.4622431664447,425.83893407919754,-203.82810327898466,0.29689007055349204,0.13835544793189486,65.58048231971816
