,p,q,d,s,t,AIC,BIC,HQIC,LLF,MAE,MSE,SSE
0,0,0,0,0,8,5179.331353795455,5187.624012310793,5182.594773935253,-2587.6656768977273,49.55976321593479,3805.5009612589356,1777168.948907923
1,0,0,0,0,9,5179.331353795455,5187.624012310793,5182.594773935253,-2587.6656768977273,49.55976321593479,3805.5009612589356,1777168.948907923
2,0,0,0,0,10,5179.331353795455,5187.624012310793,5182.594773935253,-2587.6656768977273,49.55976321593479,3805.5009612589356,1777168.948907923
3,0,0,0,0,11,5179.331353795455,5187.624012310793,5182.594773935253,-2587.6656768977273,49.55976321593479,3805.5009612589356,1777168.948907923
4,0,0,0,0,12,5179.331353795455,5187.624012310793,5182.594773935253,-2587.6656768977273,49.55976321593479,3805.5009612589356,1777168.948907923
5,0,0,0,1,8,5173.893125993082,5186.332113766089,5178.788256202781,-2583.946562996541,48.92787482257335,3745.3968215430687,1749100.3156606131
6,0,0,0,1,9,5181.306059817782,5193.745047590788,5186.20119002748,-2587.653029908891,49.533626841400654,3805.2561105302557,1777054.6036176295
7,0,0,0,1,10,5170.54098258836,5182.979970361366,5175.436112798058,-2582.27049129418,48.986865084341936,3718.3381979778883,1736463.9384556739
8,0,0,0,1,11,5099.518390748219,5111.957378521225,5104.413520957917,-2546.7591953741094,45.716221927386925,3192.022467904745,1490674.492511516
9,0,0,0,1,12,5055.858042270736,5068.297030043743,5060.753172480435,-2524.929021135368,42.652538602722316,2907.8244616979996,1357954.0236129658
10,0,0,0,2,8,5165.424926016051,5182.010243046727,5171.951766295649,-2578.7124630080257,48.24497275192485,3661.672312056693,1710000.9697304757
11,0,0,0,2,9,5166.71294145546,5183.298258486136,5173.2397817350575,-2579.35647072773,47.92020415037573,3670.988410521183,1714351.5877133925
12,0,0,0,2,10,5157.323798601408,5173.909115632084,5163.850638881006,-2574.661899300704,48.26150599319587,3597.488925666929,1680027.3282864557
13,0,0,0,2,11,5100.164256267672,5116.749573298347,5106.691096547269,-2546.082128133836,45.64152024541797,3182.616734930293,1486282.015212447
14,0,0,0,2,12,5041.66774356618,5058.253060596856,5048.194583845778,-2516.83387178309,41.53497927068707,2807.2608779133907,1310990.8299855534
15,0,0,0,3,8,5106.802862731853,5127.534509020197,5114.96141308135,-2548.4014313659263,44.627627736073535,3207.17243022151,1497749.524913445
16,0,0,0,3,9,5163.959930843161,5184.691577131505,5172.118481192658,-2576.9799654215803,47.79604036604892,3632.9433326961353,1696584.536369095
17,0,0,0,3,10,5148.580535001082,5169.312181289427,5156.739085350579,-2569.290267500541,47.609749636888026,3513.6033543914787,1640852.7665008206
18,0,0,0,3,11,5101.287047628013,5122.018693916358,5109.44559797751,-2545.6435238140066,45.62949019992341,3176.4536761963504,1483403.8667836958
19,0,0,0,3,12,5015.710156419147,5036.441802707492,5023.868706768644,-2502.8550782095735,39.999175336706294,2639.2639217375304,1232536.2514514267
20,0,0,0,4,8,5103.7405577135505,5128.618533259564,5113.5308181329465,-2545.8702788567753,44.412760657491056,3171.4680433651088,1481075.5762515059
21,0,0,0,4,9,5088.895779136801,5113.773754682815,5098.686039556197,-2538.4478895684006,43.38687571101061,3065.7844840138955,1431721.3540344893
22,0,0,0,4,10,5141.328922934922,5166.206898480936,5151.119183354318,-2564.664461467461,47.017187846247715,3442.243212412843,1607527.5801967978
23,0,0,0,4,11,5082.758164469348,5107.636140015362,5092.548424888744,-2535.379082234674,44.16888506496089,3034.9367678638514,1417315.4705924187
24,0,0,0,4,12,5016.04466860353,5040.922644149544,5025.834929022926,-2502.022334301765,39.89235893643755,2629.616046519625,1228030.6937246649
