;p;q;d;s;t;AIC;BIC;HQIC;LLF;MAE;MSE;SSE
0;0;0;0;0;8;4902.855548819476;4911.156754356369;4906.121749172056;-2449.427774409738;35.65154419798662;2013.1258316629362;944156.015049917
1;0;0;0;0;9;4902.855548819476;4911.156754356369;4906.121749172056;-2449.427774409738;35.65154419798662;2013.1258316629362;944156.015049917
2;0;0;0;0;10;4902.855548819476;4911.156754356369;4906.121749172056;-2449.427774409738;35.65154419798662;2013.1258316629362;944156.015049917
3;0;0;0;0;11;4902.855548819476;4911.156754356369;4906.121749172056;-2449.427774409738;35.65154419798662;2013.1258316629362;944156.015049917
4;0;0;0;0;12;4902.855548819476;4911.156754356369;4906.121749172056;-2449.427774409738;35.65154419798662;2013.1258316629362;944156.015049917
5;0;0;0;1;8;4891.3123005898615;4903.7641088952005;4896.211601118732;-2442.6561502949307;34.9894316339718;1957.120674822208;917889.5964916155
6;0;0;0;1;9;4883.242845274499;4895.694653579838;4888.142145803369;-2438.6214226372495;34.26005600274547;1924.4033630966007;902545.1772923057
7;0;0;0;1;10;4900.918523645563;4913.370331950902;4905.817824174434;-2447.4592618227816;35.287120429088525;1996.7240017289478;936463.5568108765
8;0;0;0;1;11;4877.929750158075;4890.381558463414;4882.829050686945;-2435.9648750790375;34.523212366895244;1903.503151402341;892742.978007698
9;0;0;0;1;12;4816.6053459484565;4829.0571542537955;4821.504646477328;-2405.3026729742282;32.23458856339528;1676.5183858819237;786287.1229786222
10;0;0;0;2;8;4866.177992777846;4882.7804038516315;4872.7103934830075;-2429.088996388923;33.62330268211391;1849.387332569539;867362.6589751138
11;0;0;0;2;9;4878.486237040411;4895.088648114196;4885.018637745572;-2435.2431185202054;34.068482575071044;1897.5178167588283;889935.8560598905
12;0;0;0;2;10;4873.985011849953;4890.587422923738;4880.517412555114;-2432.9925059249763;34.22237643422477;1879.7684577181897;881611.4066698309
13;0;0;0;2;11;4860.094458777947;4876.696869851732;4866.626859483108;-2426.0472293889734;33.51587605872126;1825.8004242378297;856300.3989675421
14;0;0;0;2;12;4776.541214032646;4793.1436251064315;4783.0736147378075;-2384.270607016323;30.782175506296845;1536.1462931419853;720452.6114835911
15;0;0;0;3;8;4803.514948311151;4824.2679621533825;4811.680449192602;-2396.7574741555754;31.051620048930275;1615.5398687442812;757688.1984410678
16;0;0;0;3;9;4859.5711137122835;4880.324127554515;4867.736614593735;-2424.7855568561417;33.42360245734155;1815.7787052071785;851600.2127421667
17;0;0;0;3;10;4865.768383755815;4886.521397598047;4873.933884637267;-2427.8841918779076;33.949660843682715;1840.0345331512046;862976.196047915
18;0;0;0;3;11;4854.644223306632;4875.3972371488635;4862.809724188083;-2422.322111653316;33.36112244560014;1797.645607581933;843095.7899559266
19;0;0;0;3;12;4739.467830015425;4760.220843857656;4747.633330896876;-2364.7339150077123;29.650900802075068;1415.5686250264816;663901.6851374198
20;0;0;0;4;8;4801.246822982005;4826.150439592683;4811.045424039747;-2394.6234114910026;30.98549702689625;1600.8087977748921;750779.3261564244
21;0;0;0;4;9;4787.670840603346;4812.574457214024;4797.469441661087;-2387.835420301673;31.153109328407034;1554.0383464109489;728843.984466735
22;0;0;0;4;10;4850.572959026884;4875.476575637562;4860.371560084625;-2419.286479513442;33.18325338658997;1773.843378782903;831932.5446491815
23;0;0;0;4;11;4845.806267532493;4870.709884143171;4855.604868590234;-2416.9031337662464;33.192784578926265;1756.8892290197666;823981.0484102706
24;0;0;0;4;12;4745.318278900188;4770.221895510866;4755.116879957929;-2366.659139450094;29.576531366134834;1421.032493727525;666464.2395582092
25;0;0;1;0;8;4844.195328268335;4856.647136573674;4849.094628797206;-2419.0976641341676;33.49377852157153;1769.9829405175262;830121.9991027198
26;0;0;1;0;9;4844.195328268335;4856.647136573674;4849.094628797206;-2419.0976641341676;33.49377852157153;1769.9829405175262;830121.9991027198
27;0;0;1;0;10;4844.195328268335;4856.647136573674;4849.094628797206;-2419.0976641341676;33.49377852157153;1769.9829405175262;830121.9991027198
28;0;0;1;0;11;4844.195328268335;4856.647136573674;4849.094628797206;-2419.0976641341676;33.49377852157153;1769.9829405175262;830121.9991027198
29;0;0;1;0;12;4844.195328268335;4856.647136573674;4849.094628797206;-2419.0976641341676;33.49377852157153;1769.9829405175262;830121.9991027198
30;0;0;1;1;8;4835.286901006228;4851.889312080013;4841.819301711389;-2413.643450503114;33.18833316760478;1730.0092810994643;811374.3528356487
31;0;0;1;1;9;4836.989786931397;4853.592198005183;4843.522187636559;-2414.4948934656986;32.78658691145285;1736.088925452911;814225.7060374153
32;0;0;1;1;10;4840.768900439514;4857.3713115133;4847.301301144676;-2416.384450219757;33.0844135272576;1750.0745246681615;820784.9520693677
33;0;0;1;1;11;4831.784147176758;4848.386558250543;4838.316547881919;-2411.892073588379;33.096084237262865;1717.5112024546038;805512.7539512091
34;0;0;1;1;12;4787.8994239137755;4804.501834987561;4794.431824618937;-2389.9497119568878;30.82399882205485;1568.0158038689906;735399.4120145566
35;0;0;1;2;8;4817.978883298748;4838.7318971409795;4826.144384180199;-2403.989441649374;31.944578476820684;1661.4645942606821;779226.89470826
36;0;0;1;2;9;4832.379288075076;4853.132301917308;4840.544788956528;-2411.189644037538;32.560231291522875;1712.2444754524047;803042.6589871778
37;0;0;1;2;10;4822.463845949931;4843.216859792163;4830.6293468313825;-2406.2319229749655;32.429157578513774;1677.2018293865726;786607.6579823026
38;0;0;1;2;11;4821.6777041997475;4842.430718041979;4829.843205081199;-2405.8388520998737;32.27902103375948;1674.275835225434;785235.3667207286
39;0;0;1;2;12;4753.752667649098;4774.50568149133;4761.918168530549;-2371.876333824549;29.643203726438635;1454.2753853640327;682055.1557357314
40;0;0;1;3;8;4774.068807259645;4798.972423870323;4783.867408317386;-2381.0344036298225;30.1090788836105;1508.9108575041746;707679.1921694579
41;0;0;1;3;9;4822.155009051221;4847.058625661899;4831.9536101089625;-2405.0775045256105;32.090373373403594;1668.681556510526;782611.6500034367
42;0;0;1;3;10;4816.436382213056;4841.339998823734;4826.234983270798;-2402.218191106528;32.04182890139641;1649.1558979357835;773454.1161318824
43;0;0;1;3;11;4818.394804975531;4843.298421586209;4828.193406033272;-2403.1974024877654;32.13225388114322;1655.8265416723225;776582.6480443192
44;0;0;1;3;12;4724.658588302567;4749.562204913245;4734.457189360309;-2356.3292941512836;28.87296758631138;1362.731744281109;639121.1880678402
45;0;0;1;4;8;4774.195245668508;4803.249465047632;4785.626946902539;-2380.097622834254;30.040941819150948;1502.861086768815;704841.8496945743
46;0;0;1;4;9;4766.871998999935;4795.92621837906;4778.303700233967;-2376.4359994999677;30.108163002320513;1479.577794436276;693921.9855906134
47;0;0;1;4;10;4812.928761891799;4841.982981270923;4824.36046312583;-2399.4643809458994;31.7338684432744;1629.6204400297559;764291.9863739555
48;0;0;1;4;11;4811.9346573143575;4840.988876693482;4823.366358548389;-2398.9673286571788;31.895150305551443;1626.314191494098;762741.3558107319
49;0;0;1;4;12;4716.955674561579;4746.0098939407035;4728.387375795611;-2351.4778372807896;28.60040649562312;1335.5607094594998;626377.9727365054
50;0;0;2;0;8;4842.8179342240755;4859.420345297861;4849.350334929237;-2417.4089671120378;33.320723638105264;1757.6553433807767;824340.3560455843
51;0;0;2;0;9;4842.8179342240755;4859.420345297861;4849.350334929237;-2417.4089671120378;33.320723638105264;1757.6553433807767;824340.3560455843
52;0;0;2;0;10;4842.8179342240755;4859.420345297861;4849.350334929237;-2417.4089671120378;33.320723638105264;1757.6553433807767;824340.3560455843
53;0;0;2;0;11;4842.8179342240755;4859.420345297861;4849.350334929237;-2417.4089671120378;33.320723638105264;1757.6553433807767;824340.3560455843
54;0;0;2;0;12;4842.8179342240755;4859.420345297861;4849.350334929237;-2417.4089671120378;33.320723638105264;1757.6553433807767;824340.3560455843
55;0;0;2;1;8;4833.349706434304;4854.102720276535;4841.515207315755;-2411.674853217152;32.97996446737904;1715.9706089902247;804790.2156164154
56;0;0;2;1;9;4836.281842830158;4857.03485667239;4844.447343711609;-2413.140921415079;32.71632056040021;1726.3361302265587;809651.645076256
57;0;0;2;1;10;4838.1507451070465;4858.903758949278;4846.316245988498;-2414.0753725535233;32.86761821208242;1733.4539778993726;812989.9156348058
58;0;0;2;1;11;4832.750733811608;4853.50374765384;4840.91623469306;-2411.375366905804;33.0112010553789;1713.7966641276798;803770.6354758819
59;0;0;2;1;12;4782.693948103516;4803.446961945748;4790.8594489849675;-2386.346974051758;30.468241440275996;1545.3134935079963;724752.0284552503
60;0;0;2;2;8;4817.697747061831;4842.601363672509;4827.496348119573;-2402.8488735309156;31.849241234864873;1653.6702781078795;775571.3604325955
61;0;0;2;2;9;4829.136580782222;4854.0401973929;4838.935181839964;-2408.568290391111;32.3886342343832;1693.8140566017305;794398.7925462116
62;0;0;2;2;10;4820.785605497416;4845.689222108094;4830.584206555158;-2404.392802748708;32.188630607477705;1664.5877757654641;780691.6668340027
63;0;0;2;2;11;4822.627899473971;4847.531516084649;4832.426500531713;-2405.3139497369857;32.2562355381642;1670.6678266691094;783543.2107078123
64;0;0;2;2;12;4747.914297116804;4772.817913727482;4757.712898174545;-2367.957148558402;29.396693186586212;1431.9675381134173;671592.7753751928
65;0;0;2;3;8;4771.865830270297;4800.920049649421;4783.297531504329;-2378.9329151351485;30.052216721140514;1496.2914208449997;701760.6763763048
66;0;0;2;3;9;4819.966753265857;4849.020972644981;4831.398454499888;-2402.9833766329284;31.966812783677046;1654.484936482381;775953.4352102367
67;0;0;2;3;10;4813.414461540686;4842.46868091981;4824.846162774717;-2399.707230770343;31.788465621122487;1632.302201845137;765549.7326653693
68;0;0;2;3;11;4819.114404109395;4848.168623488519;4830.5461053434265;-2402.5572020546974;32.07132764239178;1651.485788348576;774546.8347354822
69;0;0;2;3;12;4718.534765900214;4747.588985279338;4729.966467134245;-2352.267382950107;28.605158154492567;1341.8771351175026;629340.3763701087
70;0;0;2;4;8;4772.367072138576;4805.571894286147;4785.431873548898;-2378.183536069288;30.020667992798703;1491.4664681359434;699497.7735557575
71;0;0;2;4;9;4762.437850947586;4795.642673095157;4775.502652357908;-2373.218925473793;29.919337132165534;1461.46795386286;685428.4703616813
72;0;0;2;4;10;4810.935124053923;4844.139946201493;4823.999925464244;-2397.4675620269613;31.518690679728916;1616.7442371099294;758253.0472045569
73;0;0;2;4;11;4812.94543912494;4846.150261272511;4826.010240535262;-2398.47271956247;31.780230428592827;1621.5701765060744;760516.4127813489
74;0;0;2;4;12;4710.942856244;4744.1476783915705;4724.0076576543215;-2347.471428122;28.245973979219997;1315.7512711637082;617087.3461757791
75;0;0;3;0;8;4840.590207999368;4861.3432218416;4848.75570888082;-2415.295103999684;33.22946594944159;1741.7127594259237;816863.2841707582
76;0;0;3;0;9;4840.590207999368;4861.3432218416;4848.75570888082;-2415.295103999684;33.22946594944159;1741.7127594259237;816863.2841707582
77;0;0;3;0;10;4840.590207999368;4861.3432218416;4848.75570888082;-2415.295103999684;33.22946594944159;1741.7127594259237;816863.2841707582
78;0;0;3;0;11;4840.590207999368;4861.3432218416;4848.75570888082;-2415.295103999684;33.22946594944159;1741.7127594259237;816863.2841707582
79;0;0;3;0;12;4840.590207999368;4861.3432218416;4848.75570888082;-2415.295103999684;33.22946594944159;1741.7127594259237;816863.2841707582
80;0;0;3;1;8;4832.8456253888935;4857.7492419995715;4842.644226446635;-2410.4228126944467;32.854090209816306;1706.5718244242394;800382.1856549683
81;0;0;3;1;9;4837.411378019506;4862.314994630184;4847.209979077247;-2412.705689009753;32.72655660359969;1722.8915597396624;808036.1415179017
82;0;0;3;1;10;4837.968654774802;4862.87227138548;4847.767255832544;-2412.984327387401;32.80035786375889;1725.0978246165503;809070.8797451621
83;0;0;3;1;11;4832.01739714097;4856.921013751648;4841.815998198712;-2410.008698570485;32.8802048849629;1703.6063112422503;798991.3599726154
84;0;0;3;1;12;4784.2992251671785;4809.2028417778565;4794.09782622492;-2386.1496125835893;30.460598206912703;1543.653866186266;723973.6632413587
85;0;0;3;2;8;4818.010584249405;4847.064803628529;4829.4422854834365;-2402.0052921247025;31.822914529091463;1647.508138541628;772681.3169760236
86;0;0;3;2;9;4831.152110936735;4860.206330315859;4842.583812170767;-2408.5760554683675;32.40467273020861;1693.8146734552604;794399.0818505171
87;0;0;3;2;10;4821.34229207506;4850.396511454184;4832.773993309092;-2403.67114603753;32.0747269202208;1659.1413776987008;778137.3061406907
88;0;0;3;2;11;4824.000751277541;4853.054970656665;4835.432452511573;-2405.0003756387705;32.24091929281112;1668.2346822736315;782402.0659863332
89;0;0;3;2;12;4749.829097717472;4778.883317096596;4761.260798951504;-2367.914548858736;29.420012373244788;1431.9905157892667;671603.5519051661
90;0;0;3;3;8;4773.939810041268;4807.144632188839;4787.00461145159;-2378.969905020634;30.051159409192447;1496.5088761610302;701862.6629195232
91;0;0;3;3;9;4821.176104721381;4854.380926868952;4834.240906131703;-2402.5880523606907;31.897420257334957;1652.3763726769464;774964.5187854879
92;0;0;3;3;10;4814.855472278303;4848.0602944258735;4827.920273688625;-2399.4277361391514;31.722205853350943;1630.0215451882934;764480.1046933096
93;0;0;3;3;11;4821.113630872744;4854.318453020314;4834.178432283065;-2402.556815436372;32.070608664107944;1651.4740635238315;774541.335792677
94;0;0;3;3;12;4720.344239070948;4753.549061218519;4733.40904048127;-2352.172119535474;28.618252861197035;1341.866896011217;629335.5742292608
95;0;0;3;4;8;4774.321625539046;4811.677050455062;4789.019527125658;-2378.160812769523;30.018234189461303;1491.3042969921323;699421.7152893101
96;0;0;3;4;9;4763.901740059855;4801.257164975871;4778.599641646468;-2372.9508700299275;29.86598948084129;1459.823413218837;684657.1807996345
97;0;0;3;4;10;4812.468557311675;4849.823982227691;4827.166458898288;-2397.2342786558374;31.458036299539245;1614.8782384585556;757377.8938370626
98;0;0;3;4;11;4813.795072059375;4851.150496975391;4828.492973645987;-2397.8975360296877;31.770941484673983;1619.0925852408106;759354.4224779402
99;0;0;3;4;12;4712.321191645682;4749.676616561698;4727.019093232295;-2347.160595822841;28.24589629350107;1314.2721522180786;616393.6393902788
100;0;0;4;0;8;4835.746291412634;4860.649908023312;4845.544892470375;-2411.873145706317;32.71899341455175;1716.7172244412059;805140.3782629255
101;0;0;4;0;9;4835.746291412634;4860.649908023312;4845.544892470375;-2411.873145706317;32.71899341455175;1716.7172244412059;805140.3782629255
102;0;0;4;0;10;4835.746291412634;4860.649908023312;4845.544892470375;-2411.873145706317;32.71899341455175;1716.7172244412059;805140.3782629255
103;0;0;4;0;11;4835.746291412634;4860.649908023312;4845.544892470375;-2411.873145706317;32.71899341455175;1716.7172244412059;805140.3782629255
104;0;0;4;0;12;4835.746291412634;4860.649908023312;4845.544892470375;-2411.873145706317;32.71899341455175;1716.7172244412059;805140.3782629255
105;0;0;4;1;8;4830.147376708246;4859.2015960873705;4841.579077942278;-2408.073688354123;32.50171051791421;1689.5756598537234;792410.9844713963
106;0;0;4;1;9;4834.212550883076;4863.2667702622;4845.6442521171075;-2410.106275441538;32.38545602513166;1704.0505626074391;799199.713862889
107;0;0;4;1;10;4833.641447325844;4862.695666704968;4845.073148559875;-2409.820723662922;32.33650820092506;1702.08173143426;798276.332042668
108;0;0;4;1;11;4828.884707793104;4857.938927172228;4840.316409027136;-2407.442353896552;32.54329991843401;1685.044158461961;790285.7103186597
109;0;0;4;1;12;4785.811507879136;4814.86572725826;4797.243209113168;-2385.905753939568;30.39603293559392;1541.5140179088642;722970.0743992573
110;0;0;4;2;8;4818.140529342864;4851.345351490435;4831.205330753186;-2401.070264671432;31.566379728172045;1640.546169642652;769416.1535624039
111;0;0;4;2;9;4831.027909555929;4864.2327317035;4844.092710966251;-2407.5139547779645;32.2334077237856;1685.717009924499;790601.2776545901
112;0;0;4;2;10;4819.74340602119;4852.948228168761;4832.808207431512;-2401.871703010595;31.905977961313788;1646.0652412287047;772004.5981362625
113;0;0;4;2;11;4820.858855128275;4854.063677275845;4833.923656538596;-2402.4294275641373;31.88473199870002;1649.8515862877985;773780.3939689775
114;0;0;4;2;12;4751.5416445880055;4784.746466735576;4764.606445998327;-2367.7708222940028;29.426691575660623;1431.9404595612427;671580.0755342229
115;0;0;4;3;8;4775.8583436605;4813.2137685765165;4790.556245247113;-2378.92917183025;30.065742748620256;1496.550719224478;701882.2873162802
116;0;0;4;3;9;4822.434961919118;4859.790386835134;4837.132863505731;-2402.217480959559;31.86403013360998;1649.0491944633047;773404.07220329
117;0;0;4;3;10;4815.058947307465;4852.414372223481;4829.756848894078;-2398.5294736537326;31.6665858852176;1623.2911479929257;761323.5484086822
118;0;0;4;3;11;4819.968373513642;4857.323798429658;4834.666275100255;-2400.984186756821;31.791237530240263;1639.9785025997226;769149.9177192699
119;0;0;4;3;12;4722.220429673347;4759.575854589363;4736.91833125996;-2352.1102148366735;28.609089086055903;1342.2261779723513;629504.0774690327
120;0;0;4;4;8;4776.174775787849;4817.680803472312;4792.505777550752;-2378.0873878939246;30.039028163102586;1491.2570780313445;699399.5695967006
121;0;0;4;4;9;4767.822197616519;4809.328225300981;4784.1531993794215;-2373.9110988082593;29.798116521562402;1464.442830679278;686823.6875885813
122;0;0;4;4;10;4815.955900024619;4857.4619277090815;4832.286901787522;-2397.9779500123095;31.412791656185235;1614.6968995970767;757292.845911029
123;0;0;4;4;11;4813.668447020872;4855.174474705334;4829.999448783775;-2396.834223510436;31.58685422968842;1611.1033105612976;755607.4526532486
124;0;0;4;4;12;4715.849181996418;4757.355209680881;4732.180183759321;-2347.924590998209;28.18650250884737;1315.142556561544;616801.8590273642
125;0;1;0;0;8;5022.838872014943;5031.1358086067785;5026.10368398784;-2509.4194360074716;40.73886446886446;2655.2139780329508;1245295.355697454
126;0;1;0;0;9;5022.838872014943;5031.1358086067785;5026.10368398784;-2509.4194360074716;40.73886446886446;2655.2139780329508;1245295.355697454
127;0;1;0;0;10;5022.838872014943;5031.1358086067785;5026.10368398784;-2509.4194360074716;40.73886446886446;2655.2139780329508;1245295.355697454
128;0;1;0;0;11;5022.838872014943;5031.1358086067785;5026.10368398784;-2509.4194360074716;40.73886446886446;2655.2139780329508;1245295.355697454
129;0;1;0;0;12;5022.838872014943;5031.1358086067785;5026.10368398784;-2509.4194360074716;40.73886446886446;2655.2139780329508;1245295.355697454
130;0;1;0;1;8;5011.858373554549;5024.303778442302;5016.755591513894;-2502.9291867772745;40.543206261116595;2583.5208838085473;1211671.2945062087
131;0;1;0;1;9;5018.349846186991;5030.795251074745;5023.247064146336;-2506.1749230934956;40.32031109978581;2619.354355935664;1228477.1929338265
132;0;1;0;1;10;5012.067020025525;5024.512424913279;5016.96423798487;-2503.0335100127627;40.200491784005095;2585.159573203293;1212439.8398323443
133;0;1;0;1;11;5019.361741975115;5031.807146862869;5024.25895993446;-2506.6808709875577;40.39376130524398;2624.950040854421;1231101.5691607234
134;0;1;0;1;12;4978.7421985733035;4991.187603461057;4983.639416532648;-2486.3710992866518;38.501374390895535;2411.0394904212885;1130777.5210075844
135;0;1;0;2;8;5000.620981857863;5017.214855041533;5007.150605803656;-2496.3104909289314;39.940945742951556;2512.5866803274735;1178403.1530735851
136;0;1;0;2;9;5005.175967770268;5021.769840953938;5011.705591716061;-2498.587983885134;39.84242597435169;2537.5453497116196;1190108.7690147497
137;0;1;0;2;10;4998.044621689336;5014.6384948730065;5004.574245635129;-2495.022310844668;39.48408586612238;2499.504290089432;1172267.5120519435
138;0;1;0;2;11;5010.029348212503;5026.623221396173;5016.558972158296;-2501.0146741062513;39.82091406989689;2563.098641343662;1202093.2627901775
139;0;1;0;2;12;4952.39959774735;4968.99347093102;4958.929221693143;-2472.199798873675;37.41763091220511;2271.4538650365375;1065311.8627021362
140;0;1;0;3;8;4966.530326323253;4987.272667802841;4974.692356255493;-2478.2651631616263;38.16463504822733;2328.5443177099987;1092087.2850059895
141;0;1;0;3;9;5000.981050595463;5021.723392075051;5009.143080527703;-2495.4905252977314;39.4379451705317;2504.698144502666;1174703.4297717502
142;0;1;0;3;10;4987.682882468002;5008.425223947591;4995.844912400243;-2488.841441234001;38.92326139163051;2435.1817682121336;1142100.2492914908
143;0;1;0;3;11;5006.631813805667;5027.374155285255;5014.793843737907;-2498.3159069028334;39.763047855707065;2534.0990908472386;1188492.4736073548
144;0;1;0;3;12;4937.5879366133395;4958.330278092928;4945.74996654558;-2463.7939683066697;36.65821403271769;2191.516147523253;1027821.0731884057
145;0;1;0;4;8;4968.218588021118;4993.109397796624;4978.013023939807;-2478.109294010559;38.13508048558602;2327.013540963324;1091369.350711799
146;0;1;0;4;9;4970.205437356806;4995.096247132312;4979.999873275495;-2479.102718678403;37.65354844450069;2337.00770703237;1096056.6145981816
147;0;1;0;4;10;4989.5059022221885;5014.396711997694;4999.300338140877;-2488.7529511110943;38.91156436326209;2434.2622943461242;1141669.0160483322
148;0;1;0;4;11;5001.487709410873;5026.378519186379;5011.282145329562;-2494.7438547054367;39.47323461502393;2495.6777856558037;1170472.881472572
149;0;1;0;4;12;4932.59999148502;4957.490801260526;4942.3944274037085;-2460.29999574251;36.35051153504769;2159.6663753855;1012883.5300557995
150;0;1;1;0;8;4899.8276814324145;4912.273086320168;4904.724899391759;-2446.9138407162072;35.8051598789376;2044.983641412827;959097.3278226159
151;0;1;1;0;9;4899.8276814324145;4912.273086320168;4904.724899391759;-2446.9138407162072;35.8051598789376;2044.983641412827;959097.3278226159
152;0;1;1;0;10;4899.8276814324145;4912.273086320168;4904.724899391759;-2446.9138407162072;35.8051598789376;2044.983641412827;959097.3278226159
153;0;1;1;0;11;4899.8276814324145;4912.273086320168;4904.724899391759;-2446.9138407162072;35.8051598789376;2044.983641412827;959097.3278226159
154;0;1;1;0;12;4899.8276814324145;4912.273086320168;4904.724899391759;-2446.9138407162072;35.8051598789376;2044.983641412827;959097.3278226159
155;0;1;1;1;8;4885.34918107229;4901.94305425596;4891.878805018083;-2438.674590536145;34.98794796010419;1976.3578853187612;926911.848214499
156;0;1;1;1;9;4875.904018844158;4892.497892027828;4882.433642789951;-2433.952009422079;34.039763789608905;1937.9524760472016;908899.7112661375
157;0;1;1;1;10;4897.712720337493;4914.306593521163;4904.242344283286;-2444.8563601687465;35.47941624153999;2027.0418276018656;950682.617145275
158;0;1;1;1;11;4875.253977271495;4891.847850455166;4881.783601217288;-2433.6269886357477;34.68359411265249;1935.8729845600976;907924.4297586858
159;0;1;1;1;12;4813.911457352707;4830.505330536377;4820.4410812985;-2402.9557286763534;32.374690121046754;1708.5106879861341;801291.5126654969
160;0;1;1;2;8;4848.057667865172;4868.800009344761;4856.219697797413;-2419.028833932586;33.52998465814778;1821.6578313553014;854357.5229056363
161;0;1;1;2;9;4873.675207864344;4894.4175493439325;4881.837237796584;-2431.837603932172;33.97516996436422;1921.3675047787247;901121.3597412219
162;0;1;1;2;10;4862.952022696443;4883.694364176032;4871.114052628684;-2426.4760113482216;34.25828297803253;1879.5057755189855;881488.2087184042
163;0;1;1;2;11;4857.246584156744;4877.988925636332;4865.408614088984;-2423.623292078372;33.68434215691444;1857.148623783045;871002.7045542481
164;0;1;1;2;12;4769.147189675923;4789.889531155512;4777.309219608163;-2379.5735948379615;30.8054098884321;1549.5257556575355;726727.5794033841
165;0;1;1;3;8;4787.175612476672;4812.066422252177;4796.97004839536;-2387.587806238336;31.42179515142751;1599.3092389725698;750076.0330781352
166;0;1;1;3;9;4849.400999898553;4874.291809674059;4859.195435817242;-2418.7004999492765;32.925006487382944;1819.3114083485932;853257.0505154902
167;0;1;1;3;10;4858.284182309846;4883.174992085352;4868.078618228535;-2423.142091154923;33.971441721904036;1854.1006588377636;869573.2089949112
168;0;1;1;3;11;4851.21773931156;4876.1085490870655;4861.012175230248;-2419.60886965578;33.513114673606445;1826.4313459785537;856596.3012639417
169;0;1;1;3;12;4735.930789804877;4760.821599580383;4745.725225723566;-2361.9653949024387;29.708533194111826;1444.9909478376496;677700.7545358577
170;0;1;1;4;8;4787.494309007396;4816.533587078819;4798.9211509125325;-2386.747154503698;31.362655140105588;1594.0281524909722;747599.203518266
171;0;1;1;4;9;4777.068117830945;4806.107395902369;4788.494959736082;-2381.5340589154725;30.90081429348379;1560.833021451251;732030.6870606367
172;0;1;1;4;10;4838.646799040194;4867.686077111618;4850.073640945331;-2412.323399520097;33.03469924548011;1772.0583339630446;831095.3586286679
173;0;1;1;4;11;4842.442326893575;4871.481604964999;4853.869168798712;-2414.2211634467876;33.311076290369186;1785.411754047048;837358.1126480654
174;0;1;1;4;12;4721.582925919178;4750.6222039906015;4733.009767824315;-2353.791462959589;29.047589529519772;1395.4306326489893;654456.966712376
175;0;1;2;0;8;4841.3902464315615;4857.984119615232;4847.9198703773545;-2416.6951232157808;33.710948683592875;1794.3685916323138;841558.8694755551
