,p,q,d,s,t,AIC,BIC,HQIC,LLF,MAE,MSE,SSE
0,0,0,0,0,8,803.8191203216994,812.1415349650896,807.0922113301907,-399.9095601608497,0.4241022628086518,0.31648008688066376,150.01156118143462
1,0,0,0,0,9,803.8191203216994,812.1415349650896,807.0922113301907,-399.9095601608497,0.4241022628086518,0.31648008688066376,150.01156118143462
2,0,0,0,0,10,803.8191203216994,812.1415349650896,807.0922113301907,-399.9095601608497,0.4241022628086518,0.31648008688066376,150.01156118143462
3,0,0,0,0,11,803.8191203216994,812.1415349650896,807.0922113301907,-399.9095601608497,0.4241022628086518,0.31648008688066376,150.01156118143462
4,0,0,0,0,12,803.8191203216994,812.1415349650896,807.0922113301907,-399.9095601608497,0.4241022628086518,0.31648008688066376,150.01156118143462
5,0,0,0,1,8,844.3909501446726,856.8745721097579,849.3005866574096,-419.1954750723363,0.43449306349939526,0.3427130168750254,162.44596999876205
6,0,0,0,1,9,834.1368294669604,846.6204514320457,839.0464659796974,-414.0684147334802,0.4301187708184684,0.33556114835258705,159.05598431912625
7,0,0,0,1,10,805.3275318416422,817.8111538067275,810.2371683543792,-399.6637659208211,0.4062138140452683,0.31396850838996976,148.82107297684567
8,0,0,0,1,11,828.6121586025242,841.0957805676095,833.5217951152612,-411.3060793012621,0.4077665008496039,0.3283026588587878,155.6154602990654
9,0,0,0,1,12,837.8768257032166,850.3604476683018,842.7864622159535,-415.9384128516083,0.3941436458011667,0.3321656766088833,157.4465307126107
10,0,0,0,2,8,1025.222121706051,1041.8669509928313,1031.7683037230338,-508.61106085302555,0.5189974860365759,0.4955459643881783,234.8887871199965
11,0,0,0,2,9,1018.4567338915406,1035.101563178321,1025.0029159085232,-505.2283669457703,0.5019438563179941,0.48010326597384734,227.56894807160364
12,0,0,0,2,10,1021.1115327309354,1037.7563620177157,1027.6577147479181,-506.5557663654677,0.5076678354047358,0.5019371184126606,237.91819412760117
13,0,0,0,2,11,965.2754864109642,981.9203156977445,971.8216684279467,-478.6377432054821,0.5182333508879494,0.6637226388879708,314.60453083289815
14,0,0,0,2,12,928.2966456218614,944.9414749086418,934.842827638844,-460.1483228109307,0.44455918652917736,0.4130270248086581,195.77480975930393
15,0,0,0,3,8,954.8852765369738,975.6913131454493,963.0680040582021,-472.4426382684869,0.4581081015570829,0.39474697069766784,187.11006411069457
16,0,0,0,3,9,1003.5526442609356,1024.358680869411,1011.7353717821638,-496.7763221304678,0.503861303546457,0.46953009637491216,222.55726568170837
17,0,0,0,3,10,963.9411581752129,984.7471947836883,972.1238856964411,-476.97057908760644,0.4889950299107226,0.4532945673639235,214.86162493049974
18,0,0,0,3,11,917.4349083155548,938.2409449240303,925.617635836783,-453.7174541577774,0.44394463664646433,0.38140835186786237,180.78755878536677
19,0,0,0,3,12,850.0082672704577,870.8143038789332,858.190994791686,-420.00413363522887,0.4092513411318432,0.3300878310016899,156.46163189480103
20,0,0,0,4,8,924.6931753762882,949.6604193064586,934.5124484017621,-456.3465876881441,0.4594734193857854,0.3924159302818567,186.00515095360007
21,0,0,0,4,9,906.1738349052016,931.141078835372,915.9931079306755,-447.0869174526008,0.43696923945906596,0.36499502504364034,173.00764187068552
22,0,0,0,4,10,1187.7001402244364,1212.667384154607,1197.5194132499103,-587.8500701122182,0.6930611140146743,1.369092333765482,648.9497662048384
23,0,0,0,4,11,917.1262028806817,942.0934468108521,926.9454759061556,-452.56310144034086,0.43895718799259087,0.36468298940742727,172.85973697912053
24,0,0,0,4,12,855.6427196480477,880.6099635782181,865.4619926735215,-421.82135982402383,0.39785752524111034,0.31205768331357114,147.91534189063273
25,0,0,1,0,8,559.8789752551836,572.3625972202689,564.7886117679205,-276.9394876275918,0.3192820147115583,0.18824209671285275,89.2267538418922
26,0,0,1,0,9,559.8789752551836,572.3625972202689,564.7886117679205,-276.9394876275918,0.3192820147115583,0.18824209671285275,89.2267538418922
27,0,0,1,0,10,559.8789752551836,572.3625972202689,564.7886117679205,-276.9394876275918,0.3192820147115583,0.18824209671285275,89.2267538418922
28,0,0,1,0,11,559.8789752551836,572.3625972202689,564.7886117679205,-276.9394876275918,0.3192820147115583,0.18824209671285275,89.2267538418922
29,0,0,1,0,12,559.8789752551836,572.3625972202689,564.7886117679205,-276.9394876275918,0.3192820147115583,0.18824209671285275,89.2267538418922
30,0,0,1,1,8,589.2836956506433,605.9285249374236,595.8298776676259,-290.64184782532163,0.3219621584586655,0.19762785613982262,93.67560381027592
31,0,0,1,1,9,620.0954538862794,636.7402831730598,626.641635903262,-306.0477269431397,0.3325470537056985,0.21176583627986958,100.37700639665819
32,0,0,1,1,10,566.1159950417882,582.7608243285686,572.6621770587708,-279.0579975208941,0.3133372876208952,0.18985182781459217,89.98976638411669
33,0,0,1,1,11,693.9790986939049,710.6239279806853,700.5252807108875,-342.98954934695246,0.3562962685122768,0.24335763035592117,115.35151678870663
