;p;q;d;s;t;AIC;BIC;HQIC;LLF;MAE;MSE;SSE
0;0;0;0;0;8;772.0030360122439;780.3254506556341;775.2761270207352;-384.00151800612196;0.4205926693146488;0.29593439232882945;140.27290196386517
1;0;0;0;0;9;772.0030360122439;780.3254506556341;775.2761270207352;-384.00151800612196;0.4205926693146488;0.29593439232882945;140.27290196386517
2;0;0;0;0;10;772.0030360122439;780.3254506556341;775.2761270207352;-384.00151800612196;0.4205926693146488;0.29593439232882945;140.27290196386517
3;0;0;0;0;11;772.0030360122439;780.3254506556341;775.2761270207352;-384.00151800612196;0.4205926693146488;0.29593439232882945;140.27290196386517
4;0;0;0;0;12;772.0030360122439;780.3254506556341;775.2761270207352;-384.00151800612196;0.4205926693146488;0.29593439232882945;140.27290196386517
5;0;0;0;1;8;663.4666950957849;675.9503170608701;668.3763316085218;-328.73334754789244;0.3799307718710153;0.23584726400029613;111.79160313614037
6;0;0;0;1;9;675.3656062952421;687.8492282603273;680.275242807979;-334.68280314762103;0.38045508125049304;0.24201713978449474;114.71612425785051
7;0;0;0;1;10;647.6719284676981;660.1555504327833;652.581564980435;-320.83596423384904;0.37002965362338724;0.2290841864531345;108.58590437878576
8;0;0;0;1;11;613.1875420594918;625.671164024577;618.0971785722287;-303.5937710297459;0.35575671675306486;0.21373212104389222;101.30902537480492
9;0;0;0;1;12;585.2904235389765;597.7740455040617;590.2000600517134;-289.64521176948824;0.33940670988953103;0.2024508105535845;95.96168420239906
10;0;0;0;2;8;653.5537448168484;670.1985741036287;660.099926833831;-322.7768724084242;0.37328017670117636;0.23022321877288673;109.12580569834832
11;0;0;0;2;9;651.3621999877857;668.0070292745661;657.9083820047683;-321.6810999938929;0.368723104499098;0.22955163713179802;108.80747600047226
12;0;0;0;2;10;647.0851879044786;663.730017191259;653.6313699214612;-319.5425939522393;0.3681251396348128;0.2279132417111224;108.03087657107201
13;0;0;0;2;11;609.5864563231013;626.2312856098816;616.1326383400839;-300.79322816155064;0.3536281985674178;0.211372807391289;100.19071070347098
14;0;0;0;2;12;569.9811372034555;586.6259664902359;576.5273192204381;-280.9905686017278;0.3354737688352267;0.19561073023105835;92.71948612952166
15;0;0;0;3;8;609.4944899183135;630.300526526789;617.6772174395418;-299.7472449591568;0.3499944216737474;0.20915997068561468;99.14182610498136
16;0;0;0;3;9;656.6115004305508;677.4175370390262;664.794227951779;-323.3057502152754;0.36960923323767547;0.23047594671239302;109.24559874167429
17;0;0;0;3;10;624.298311393153;645.1043480016284;632.4810389143812;-307.1491556965765;0.3614259460761102;0.21611772570871132;102.43980198592917
18;0;0;0;3;11;609.4062636748082;630.2123002832836;617.5889911960364;-299.7031318374041;0.350067085457939;0.2094094091400396;99.26005993237878
19;0;0;0;3;12;562.6825692100729;583.4886058185483;570.8652967313011;-276.34128460503644;0.32486268362209575;0.1895891166045537;89.86524127055844
20;0;0;0;4;8;643.0920661596167;668.0593100897871;652.9113391850906;-315.54603307980835;0.3625349375116983;0.22343423339284235;105.90782662820727
21;0;0;0;4;9;591.5218556975311;616.4890996277015;601.341128723005;-289.76092784876556;0.34338724089536243;0.20206981658910442;95.78109306323549
22;0;0;0;4;10;700.0975479502964;725.0647918804668;709.9168209757703;-344.0487739751482;0.3946950727049773;0.2521521538289316;119.52012091491358
23;0;0;0;4;11;658.0482741785065;683.0155181086769;667.8675472039804;-323.02413708925326;0.3734256644178327;0.23254065818707845;110.22427198067518
24;0;0;0;4;12;514.1646869307797;539.1319308609501;523.9839599562536;-251.0823434653898;0.3114361344251597;0.17203959709132316;81.54676902128718
25;0;0;1;0;8;472.61076791511414;485.09438988019934;477.5204044278511;-233.30538395755707;0.3042760208514313;0.15719632650178342;74.51105876184533
26;0;0;1;0;9;472.61076791511414;485.09438988019934;477.5204044278511;-233.30538395755707;0.3042760208514313;0.15719632650178342;74.51105876184533
27;0;0;1;0;10;472.61076791511414;485.09438988019934;477.5204044278511;-233.30538395755707;0.3042760208514313;0.15719632650178342;74.51105876184533
28;0;0;1;0;11;472.61076791511414;485.09438988019934;477.5204044278511;-233.30538395755707;0.3042760208514313;0.15719632650178342;74.51105876184533
29;0;0;1;0;12;472.61076791511414;485.09438988019934;477.5204044278511;-233.30538395755707;0.3042760208514313;0.15719632650178342;74.51105876184533
30;0;0;1;1;8;423.6247092350502;440.2695385218305;430.1708912520328;-207.8123546175251;0.2883143264465241;0.14146861062601207;67.05612143672973
31;0;0;1;1;9;438.6229912371788;455.2678205239591;445.16917325416136;-215.3114956185894;0.2912089195213672;0.14594942065150251;69.1800253888122
32;0;0;1;1;10;406.0634388343966;422.7082681211769;412.6096208513792;-199.0317194171983;0.28538521764688324;0.1365795194880651;64.73869223734286
33;0;0;1;1;11;409.81328266943865;426.45811195621894;416.35946468642123;-200.90664133471932;0.2853875806791019;0.137668627335924;65.25492935722798
34;0;0;1;1;12;367.8465428852297;384.49137217201;374.3927249022123;-179.92327144261486;0.27097800261763744;0.12643193519571902;59.92873728277082
35;0;0;1;2;8;419.5329985234557;440.3390351319311;427.71572604468395;-204.76649926172786;0.286639584530985;0.1397061239200381;66.22070273809805
36;0;0;1;2;9;417.9890833176326;438.795119926108;426.17181083886084;-203.9945416588163;0.28643273164866867;0.13931005015918274;66.03296377545261
37;0;0;1;2;10;406.8917158329876;427.69775244146297;415.0744433542158;-198.4458579164938;0.28450525947531113;0.1362601911126328;64.58733058738794
38;0;0;1;2;11;403.8099320339353;424.6159686424107;411.9926595551635;-196.90496601696765;0.2837326842185317;0.13545296264087814;64.20470429177624
39;0;0;1;2;12;358.9786652525112;379.78470186098656;367.1613927737394;-174.4893326262556;0.2669891446332416;0.12364439067179422;58.60744117843046
40;0;0;1;3;8;399.6934381739861;424.6606821041566;409.51271119946;-193.84671908699306;0.27962437038829235;0.13319888734960533;63.136272603712925
41;0;0;1;3;9;419.4860467649677;444.45329069513815;429.30531979044156;-203.74302338248384;0.28460944056998416;0.13899998183628776;65.88599139040039
42;0;0;1;3;10;398.5113840431759;423.47862797334636;408.33065706864977;-193.25569202158795;0.28166389269063513;0.13316839098156036;63.12181732525961
43;0;0;1;3;11;406.9572836172125;431.924527547383;416.7765566426864;-197.47864180860626;0.2832518442627644;0.13557222601254207;64.26123512994494
44;0;0;1;3;12;336.97590610018074;361.9431500303512;346.7951791256546;-162.48795305009037;0.26214291671609813;0.11720695540922905;55.556096863974574
45;0;0;1;4;8;401.4382451517722;430.56669640363776;412.89406368149173;-193.7191225758861;0.2795388970214311;0.13327781397635155;63.17368382479063
46;0;0;1;4;9;382.73087388862757;411.8593251404931;394.1866924183471;-184.36543694431379;0.2728565777706771;0.12864697431238642;60.97866582407116
47;0;0;1;4;10;413.1631750193725;442.29162627123804;424.618993549092;-199.58158750968624;0.2858552658277484;0.13689222474591456;64.8869145295635
48;0;0;1;4;11;434.06629223757;463.19474348943555;445.5221107672895;-210.033146118785;0.2884638769198611;0.14284073019505664;67.70650611245685
49;0;0;1;4;12;374.28768363643036;403.4161348882959;385.7435021661499;-180.14384181821518;0.2743266863341783;0.1264306211639813;59.92811443172714
50;0;0;2;0;8;368.63839172917983;385.2832210159601;375.1845737461624;-180.31919586458991;0.2705381413209138;0.1260865447124232;59.7650221936886
51;0;0;2;0;9;368.63839172917983;385.2832210159601;375.1845737461624;-180.31919586458991;0.2705381413209138;0.1260865447124232;59.7650221936886
52;0;0;2;0;10;368.63839172917983;385.2832210159601;375.1845737461624;-180.31919586458991;0.2705381413209138;0.1260865447124232;59.7650221936886
53;0;0;2;0;11;368.63839172917983;385.2832210159601;375.1845737461624;-180.31919586458991;0.2705381413209138;0.1260865447124232;59.7650221936886
54;0;0;2;0;12;368.63839172917983;385.2832210159601;375.1845737461624;-180.31919586458991;0.2705381413209138;0.1260865447124232;59.7650221936886
