;p;q;d;s;t;AIC;BIC;HQIC;LLF;MAE;MSE;SSE
0;0;0;0;0;8;5305.442466850691;5313.7436723875835;5308.708667203271;-2650.7212334253454;58.02651983003047;4749.707018080144;2227612.5914795874
1;0;0;0;0;9;5305.442466850691;5313.7436723875835;5308.708667203271;-2650.7212334253454;58.02651983003047;4749.707018080144;2227612.5914795874
2;0;0;0;0;10;5305.442466850691;5313.7436723875835;5308.708667203271;-2650.7212334253454;58.02651983003047;4749.707018080144;2227612.5914795874
3;0;0;0;0;11;5305.442466850691;5313.7436723875835;5308.708667203271;-2650.7212334253454;58.02651983003047;4749.707018080144;2227612.5914795874
4;0;0;0;0;12;5305.442466850691;5313.7436723875835;5308.708667203271;-2650.7212334253454;58.02651983003047;4749.707018080144;2227612.5914795874
5;0;0;0;1;8;5295.004878284559;5307.456686589898;5299.904178813429;-2644.5024391422794;56.62502086621461;4624.539546250839;2168909.047191643
6;0;0;0;1;9;5299.952907163899;5312.404715469238;5304.852207692769;-2646.9764535819495;57.414712274554844;4674.070899755952;2192139.2519855415
7;0;0;0;1;10;5305.0616875895375;5317.5134958948765;5309.960988118408;-2649.5308437947688;57.86908245361894;4725.479913661991;2216250.079507474
8;0;0;0;1;11;5251.401706643574;5263.853514948913;5256.301007172444;-2622.700853321787;54.16243718571259;4215.887027044437;1977251.015683841
9;0;0;0;1;12;5199.194694345416;5211.646502650755;5204.093994874287;-2596.597347172708;49.74837196363795;3774.358942711862;1770174.3441318632
10;0;0;0;2;8;5262.953173732374;5279.5555848061595;5269.485574437535;-2627.476586866187;54.37296823480731;4303.428169940038;2018307.8117018777
11;0;0;0;2;9;5284.7162685184785;5301.318679592264;5291.24866922364;-2638.3581342592393;56.194272566888145;4506.7297486864;2113656.2521339217
12;0;0;0;2;10;5276.1199871857325;5292.722398259518;5282.652387890894;-2634.0599935928662;54.72853287564204;4426.344924508511;2075955.769594492
13;0;0;0;2;11;5246.556170280575;5263.158581354361;5253.088570985737;-2619.2780851402877;53.664078946074724;4155.14767693857;1948764.2604841893
14;0;0;0;2;12;5158.7607621251855;5175.363173198971;5165.293162830347;-2575.3803810625927;47.12434291569152;3450.61612434825;1618338.9623193294
15;0;0;0;3;8;5191.846452188944;5212.599466031175;5200.011953070395;-2590.923226094472;49.54744742140037;3691.613889123118;1731366.9139987424
16;0;0;0;3;9;5261.894159176343;5282.647173018575;5270.059660057795;-2625.9470795881716;53.55569579574681;4276.515258374983;2005685.656177867
17;0;0;0;3;10;5275.366087358822;5296.119101201054;5283.531588240274;-2632.683043679411;54.457808615489924;4400.657069565785;2063908.165626353
18;0;0;0;3;11;5247.091214129924;5267.844227972156;5255.2567150113755;-2618.545607064962;53.43709600059449;4142.217394139706;1942699.9578515221
19;0;0;0;3;12;5083.9125954599285;5104.66560930216;5092.07809634138;-2536.9562977299643;42.43962886776675;2933.4573121685644;1375791.4794070567
20;0;0;0;4;8;5182.313158999957;5207.216775610635;5192.111760057698;-2585.1565794999783;48.29457448352949;3603.649224092025;1690111.4860991598
21;0;0;0;4;9;5127.265501580943;5152.169118191621;5137.064102638685;-2557.6327507904716;44.393340555567875;3212.041763725502;1506447.5871872604
22;0;0;0;4;10;5227.568304154251;5252.471920764929;5237.366905211992;-2607.7841520771253;50.95091242057768;3966.4169004708187;1860249.526320814
