,p,q,d,s,t,AIC,BIC,HQIC,LLF,MAE,MSE,SSE
0,0,0,0,0,8,4908.414170105101,4916.715375641994,4911.680370457681,-2452.2070850525506,36.816063029355206,2037.1274956448083,955412.795457415
1,0,0,0,0,9,4908.414170105101,4916.715375641994,4911.680370457681,-2452.2070850525506,36.816063029355206,2037.1274956448083,955412.795457415
2,0,0,0,0,10,4908.414170105101,4916.715375641994,4911.680370457681,-2452.2070850525506,36.816063029355206,2037.1274956448083,955412.795457415
3,0,0,0,0,11,4908.414170105101,4916.715375641994,4911.680370457681,-2452.2070850525506,36.816063029355206,2037.1274956448083,955412.795457415
4,0,0,0,0,12,4908.414170105101,4916.715375641994,4911.680370457681,-2452.2070850525506,36.816063029355206,2037.1274956448083,955412.795457415
5,0,0,0,1,8,4906.580101475599,4919.031909780938,4911.47940200447,-2450.2900507377994,36.59418642359866,2020.3784796038333,947557.5069341979
6,0,0,0,1,9,4902.825077057779,4915.276885363118,4907.72437758665,-2448.4125385288894,36.36324092463446,2004.157789945743,939950.0034845534
7,0,0,0,1,10,4910.387915635486,4922.839723940825,4915.287216164357,-2452.193957817743,36.84595353135754,2037.0103511443076,955357.8546866802
8,0,0,0,1,11,4886.777321433648,4899.229129738987,4891.676621962519,-2440.388660716824,35.57339464545765,1936.3304025016198,908138.9587732597
9,0,0,0,1,12,4850.485076637968,4862.936884943307,4855.384377166838,-2422.242538318984,33.690810393315296,1791.1792245631063,840063.0563200968
10,0,0,0,2,8,4892.388019819087,4908.990430892873,4898.920420524249,-2442.1940099095436,35.9235094041497,1951.1217337201788,915076.0931147638
11,0,0,0,2,9,4901.703112369134,4918.305523442919,4908.235513074295,-2446.851556184567,36.2185395803604,1990.7017016409388,933639.0980696003
12,0,0,0,2,10,4888.3418720835925,4904.944283157378,4894.874272788754,-2440.1709360417963,35.438614335038075,1934.0116696743107,907051.4730772517
13,0,0,0,2,11,4883.34150570666,4899.943916780446,4889.873906411822,-2437.67075285333,35.56846192964467,1913.7153061483173,897532.4785835608
14,0,0,0,2,12,4823.382564620996,4839.9849756947815,4829.9149653261575,-2407.691282310498,32.60832134128557,1681.9769983033625,788847.212204277
15,0,0,0,3,8,4847.694499096621,4868.447512938853,4855.859999978073,-2418.8472495483106,33.92384185561018,1764.855628775562,827717.2898957386
16,0,0,0,3,9,4886.270949797537,4907.023963639768,4894.436450678988,-2438.1354748987683,34.98673031557184,1916.9853924892125,899066.1490774406
17,0,0,0,3,10,4889.937255064536,4910.690268906767,4898.102755945987,-2439.968627532268,35.4107958675025,1932.3183104283423,906257.2875908925
18,0,0,0,3,11,4884.298100486308,4905.051114328539,4892.463601367759,-2437.149050243154,35.498348539200876,1909.3759037295804,895497.2988491732
19,0,0,0,3,12,4777.16810225203,4797.921116094261,4785.333603133481,-2383.584051126015,30.239775414020958,1513.874178295728,710006.9896206964
20,0,0,0,4,8,4841.060814019872,4865.96443063055,4850.859415077613,-2414.530407009936,33.02634957150864,1732.252125872912,812426.2470343958
21,0,0,0,4,9,4809.399156758671,4834.302773369349,4819.197757816412,-2398.6995783793354,31.28016255694753,1615.787564226906,757804.3676224189
22,0,0,0,4,10,4858.237826229617,4883.141442840295,4868.0364272873585,-2423.1189131148085,33.91879547429358,1798.1581901336597,843336.1911726864
23,0,0,0,4,11,4878.026396283582,4902.93001289426,4887.824997341323,-2433.013198141791,35.07607700152511,1875.850025601575,879773.6620071387
24,0,0,0,4,12,4776.872901594741,4801.776518205419,4786.671502652483,-2382.4364507973705,30.23230688328304,1506.539307678443,706566.9353011898
25,0,0,1,0,8,4838.8777189498005,4851.3295272551395,4843.777019478672,-2416.4388594749003,33.478230655651984,1748.980735389285,820271.9648975746
26,0,0,1,0,9,4838.8777189498005,4851.3295272551395,4843.777019478672,-2416.4388594749003,33.478230655651984,1748.980735389285,820271.9648975746
27,0,0,1,0,10,4838.8777189498005,4851.3295272551395,4843.777019478672,-2416.4388594749003,33.478230655651984,1748.980735389285,820271.9648975746
28,0,0,1,0,11,4838.8777189498005,4851.3295272551395,4843.777019478672,-2416.4388594749003,33.478230655651984,1748.980735389285,820271.9648975746
29,0,0,1,0,12,4838.8777189498005,4851.3295272551395,4843.777019478672,-2416.4388594749003,33.478230655651984,1748.980735389285,820271.9648975746
30,0,0,1,1,8,4839.434948145208,4856.0373592189935,4845.9673488503695,-2415.717474072604,33.34110114835394,1743.5604369795424,817729.8449434054
31,0,0,1,1,9,4834.777179555247,4851.3795906290325,4841.309580260408,-2413.3885897776236,33.12347649306612,1726.1831762583918,809579.9096651857
32,0,0,1,1,10,4840.857716128667,4857.460127202452,4847.390116833828,-2416.4288580643333,33.47706382840649,1748.9051193268142,820236.5009642759
33,0,0,1,1,11,4831.240745121754,4847.843156195539,4837.773145826915,-2411.620372560877,32.84407171128791,1713.153649786725,803469.061749974
34,0,0,1,1,12,4805.016915829252,4821.619326903037,4811.549316534413,-2398.508457914626,31.686539998017203,1619.2212251079866,759414.7545756457
35,0,0,1,2,8,4837.062133156508,4857.81514699874,4845.227634037959,-2413.531066578254,33.17502981727322,1727.162382172632,810039.1572389645
36,0,0,1,2,9,4836.271869123114,4857.024882965346,4844.437370004565,-2413.135934561557,33.09389061848754,1724.298646138364,808696.0650388927
37,0,0,1,2,10,4830.674282916565,4851.427296758797,4838.8397837980165,-2410.3371414582825,32.97352212958595,1703.3932166472255,798891.4186075487
38,0,0,1,2,11,4831.3786885994095,4852.131702441641,4839.544189480861,-2410.6893442997048,32.78358318250882,1706.2450548256027,800228.9307132077
39,0,0,1,2,12,4786.718143293733,4807.471157135965,4794.883644175185,-2388.3590716468666,30.596529026547678,1549.464952362362,726699.0626579478
40,0,0,1,3,8,4809.235284231398,4834.138900842076,4819.033885289139,-2398.617642115699,31.419415637026066,1619.29338863593,759448.5992702511
41,0,0,1,3,9,4827.422782382457,4852.326398993135,4837.221383440198,-2407.7113911912284,32.458046274632636,1684.1516077225087,789867.1040218566
42,0,0,1,3,10,4830.49203500187,4855.395651612548,4840.290636059612,-2409.246017500935,33.03634221432738,1695.3473556414428,795117.9097958367
43,0,0,1,3,11,4831.790005232129,4856.693621842807,4841.588606289871,-2409.8950026160646,32.64756450222694,1700.3404187781591,797459.6564069566
44,0,0,1,3,12,4750.154509558591,4775.058126169269,4759.953110616332,-2369.0772547792953,29.091366866207327,1424.4299939359644,668057.6671559673
45,0,0,1,4,8,4807.732610959659,4836.786830338783,4819.16431219369,-2396.8663054798294,31.132241974808544,1607.002672503806,753684.2534042851
46,0,0,1,4,9,4775.27386075764,4804.328080136765,4786.705561991672,-2380.63693037882,30.176093275174846,1497.3891808673557,702275.5258267898
47,0,0,1,4,10,4814.850219902578,4843.904439281702,4826.2819211366095,-2400.425109951289,32.12948157437835,1632.0499593367977,765431.4309289581
48,0,0,1,4,11,4831.6973378740495,4860.751557253174,4843.129039108081,-2408.8486689370247,32.53974804427706,1692.655831509151,793855.5849777919
49,0,0,1,4,12,4749.995464725831,4779.049684104955,4761.427165959863,-2367.9977323629155,29.03397189132866,1417.885468590614,664988.2847689979
