;p;q;d;s;t;AIC;BIC;HQIC;LLF;MAE;MSE;SSE
0;0;0;0;0;8;752.0050664507153;760.3274810941055;755.2781574592066;-374.00253322535764;0.41435622851682263;0.2837086902052537;134.47791915729024
1;0;0;0;0;9;752.0050664507153;760.3274810941055;755.2781574592066;-374.00253322535764;0.41435622851682263;0.2837086902052537;134.47791915729024
2;0;0;0;0;10;752.0050664507153;760.3274810941055;755.2781574592066;-374.00253322535764;0.41435622851682263;0.2837086902052537;134.47791915729024
3;0;0;0;0;11;752.0050664507153;760.3274810941055;755.2781574592066;-374.00253322535764;0.41435622851682263;0.2837086902052537;134.47791915729024
4;0;0;0;0;12;752.0050664507153;760.3274810941055;755.2781574592066;-374.00253322535764;0.41435622851682263;0.2837086902052537;134.47791915729024
5;0;0;0;1;8;1048.1439885765435;1060.6276105416287;1053.0536250892806;-521.0719942882718;0.5850649177095028;0.5393893316860743;255.6705432191992
6;0;0;0;1;9;1063.6583448795004;1076.1419668445856;1068.5679813922375;-528.8291724397502;0.5917438354206721;0.5558802953333231;263.4872599879951
7;0;0;0;1;10;1069.6287803990595;1082.1124023641446;1074.5384169117965;-531.8143901995297;0.5391368977246395;0.4678283566689267;221.75064106107126
8;0;0;0;1;11;696.5530069978211;709.0366289629063;701.462643510558;-345.27650349891053;0.39773819073958044;0.2512389004602329;119.08723881815038
9;0;0;0;1;12;652.8301312788944;665.3137532439797;657.7397677916314;-323.4150656394472;0.3707737062198499;0.22902219947640234;108.55652255181471
10;0;0;0;2;8;751.3308466213055;767.9756759080858;757.877028638288;-371.6654233106527;0.41326651072934023;0.28091784454869734;133.15505831608255
11;0;0;0;2;9;753.3955658612741;770.0403951480545;759.9417478782567;-372.69778293063706;0.41442582470124417;0.2821465778217032;133.73747788748733
12;0;0;0;2;10;738.0418386866876;754.6866679734679;744.5880207036702;-365.0209193433438;0.4112712410896683;0.27310146905187144;129.45009633058706
13;0;0;0;2;11;694.4455130273243;711.0903423141046;700.9916950443069;-343.22275651366215;0.39542763226631544;0.24903814652912365;118.04408145480461
14;0;0;0;2;12;643.1071443812573;659.7519736680376;649.6533263982399;-317.55357219062864;0.367598568853703;0.22333531035613666;105.86093710880877
15;0;0;0;3;8;702.6730492270626;723.4790858355381;710.8557767482909;-346.3365246135313;0.3901577619327092;0.2520807113367694;119.4862571736287
16;0;0;0;3;9;752.716560853364;773.5225974618394;760.8992883745922;-371.358280426682;0.4125445828093972;0.28056513895417984;132.98787586428125
17;0;0;0;3;10;737.7763617539954;758.5823983624708;745.9590892752236;-363.8881808769977;0.41124969128001515;0.27181460444123445;128.84012250514513
18;0;0;0;3;11;695.693711265224;716.4997478736994;703.8764387864522;-342.846855632612;0.39506421945342496;0.24864483273431692;117.85765071606622
19;0;0;0;3;12;611.9310965413083;632.7371331497837;620.1138240625365;-300.96554827065415;0.355268076632795;0.208514067226971;98.83566786558426
20;0;0;0;4;8;698.4254904201018;723.3927343502722;708.2447634455757;-343.2127452100509;0.3881056404352933;0.24880444266135254;117.9333058214811
21;0;0;0;4;9;673.8141680191851;698.7814119493555;683.633441044659;-330.90708400959255;0.3818369161009317;0.2372685754988644;112.46530478646173
22;0;0;0;4;10;738.4498952324631;763.4171391626335;748.2691682579369;-363.22494761623153;0.40848109509905817;0.2710721002674918;128.4881755267911
23;0;0;0;4;11;697.6406209619083;722.6078648920787;707.4598939873822;-342.82031048095416;0.3950650974125123;0.2486034917022267;117.83805506685546
24;0;0;0;4;12;616.9206764837784;641.8879204139488;626.7399495092523;-302.4603382418892;0.3563814250174063;0.21070784032534065;99.87551631421147
25;0;0;1;0;8;539.8172812893316;552.3009032544169;544.7269178020686;-266.9086406446658;0.332330509125074;0.18045733892079774;85.53677864845812
26;0;0;1;0;9;539.8172812893316;552.3009032544169;544.7269178020686;-266.9086406446658;0.332330509125074;0.18045733892079774;85.53677864845812
27;0;0;1;0;10;539.8172812893316;552.3009032544169;544.7269178020686;-266.9086406446658;0.332330509125074;0.18045733892079774;85.53677864845812
28;0;0;1;0;11;539.8172812893316;552.3009032544169;544.7269178020686;-266.9086406446658;0.332330509125074;0.18045733892079774;85.53677864845812
29;0;0;1;0;12;539.8172812893316;552.3009032544169;544.7269178020686;-266.9086406446658;0.332330509125074;0.18045733892079774;85.53677864845812
30;0;0;1;1;8;961.4721909455772;978.1170202323575;968.0183729625597;-476.7360954727886;1.2037467334830951;36.68328394546697;17387.876590151343
31;0;0;1;1;9;901.6575885823049;918.3024178690853;908.2037705992875;-446.82879429115246;0.49099578853928205;0.4069443976884743;192.89164450433682
32;0;0;1;1;10;896.900695914753;913.5455252015333;903.4468779317356;-444.4503479573765;0.4507107751885713;0.3255096702260313;154.29158368713883
33;0;0;1;1;11;514.6104450329539;531.2552743197342;521.1566270499364;-253.30522251647693;0.32435133071826394;0.1704998934781567;80.81694950864627
34;0;0;1;1;12;482.6932365473135;499.3380658340938;489.2394185642961;-237.34661827365676;0.31442858753490377;0.15949486740573957;75.60056715032056
35;0;0;1;2;8;542.8586690106517;563.6647056191272;551.04139653188;-266.42933450532587;0.33178649604471555;0.1800944702971523;85.3647789208502
36;0;0;1;2;9;543.0125434485922;563.8185800570676;551.1952709698204;-266.5062717242961;0.3318079171885709;0.18015375164495193;85.39287827970722
37;0;0;1;2;10;536.8750136219271;557.6810502304025;545.0577411431553;-263.43750681096355;0.33109545231404364;0.17785424351925025;84.30291142812462
38;0;0;1;2;11;513.8812989353502;534.6873355438256;522.0640264565784;-251.9406494676751;0.32235449855083065;0.1695233657551252;80.35407536792934
39;0;0;1;2;12;476.3389730863794;497.14500969485476;484.5217006076076;-233.1694865431897;0.3110989858026709;0.1567186256464437;74.28462855641432
40;0;0;1;3;8;520.7986012638877;545.7658451940581;530.6178742893616;-254.39930063194385;0.32376702813192515;0.1712146964477149;81.15576611621685
41;0;0;1;3;9;543.5382458230636;568.505489753234;553.3575188485374;-265.7691229115318;0.3306019901053464;0.17960526524672038;85.13289572694546
42;0;0;1;3;10;537.7753167365909;562.7425606667613;547.5945897620647;-262.88765836829543;0.33017926407268977;0.17744970415806233;84.11115977092155
43;0;0;1;3;11;514.2655144745019;539.2327584046723;524.0847874999757;-251.13275723725093;0.32153382659649965;0.16895537548371978;80.08484797928317
44;0;0;1;3;12;449.00410395389883;473.9713478840693;458.8233769793727;-218.50205197694942;0.3027053659620628;0.1474832651494959;69.90706768086105
45;0;0;1;4;8;520.9990129198936;550.1274641717591;532.4548314496132;-253.49950645994682;0.3224898848197957;0.17057355637855257;80.85186572343392
46;0;0;1;4;9;494.3199255072698;523.4483767591353;505.7757440369893;-240.1599627536349;0.3143788877585045;0.16164768019643874;76.62100041311196
47;0;0;1;4;10;539.6600952074183;568.7885464592838;551.1159137371378;-262.83004760370915;0.32966374906259;0.1774044414253282;84.08970523560558
48;0;0;1;4;11;516.0111642368415;545.1396154887071;527.4669827665612;-251.0055821184208;0.32153273180710595;0.16885516517328705;80.03734829213806
49;0;0;1;4;12;443.7859984459657;472.91444969783123;455.2418169756852;-214.89299922298284;0.30218862056940965;0.1453097304624161;68.87681223918523
50;0;0;2;0;8;451.3116890638605;467.9565183506408;457.8578710808431;-221.65584453193026;0.29834927747917966;0.14902096504689064;70.63593743222616
51;0;0;2;0;9;451.3116890638605;467.9565183506408;457.8578710808431;-221.65584453193026;0.29834927747917966;0.14902096504689064;70.63593743222616
52;0;0;2;0;10;451.3116890638605;467.9565183506408;457.8578710808431;-221.65584453193026;0.29834927747917966;0.14902096504689064;70.63593743222616
53;0;0;2;0;11;451.3116890638605;467.9565183506408;457.8578710808431;-221.65584453193026;0.29834927747917966;0.14902096504689064;70.63593743222616
54;0;0;2;0;12;451.3116890638605;467.9565183506408;457.8578710808431;-221.65584453193026;0.29834927747917966;0.14902096504689064;70.63593743222616
55;0;0;2;1;8;818.8795478818482;839.6855844903237;827.0622754030765;-404.4397739409241;0.42386651659110597;0.28953723600888276;137.24064986821043
56;0;0;2;1;9;835.1698275906982;855.9758641991737;843.3525551119264;-412.5849137953491;0.43571837642240846;0.3042803605788371;144.2288909143688
57;0;0;2;1;10;843.5260328298002;864.3320694382757;851.7087603510284;-416.7630164149001;0.5618130748704713;1.5135923563195632;717.442776895473
58;0;0;2;1;11;441.19190843047886;461.99794503895424;449.3746359517071;-215.59595421523943;0.2951912700428684;0.14530823766342765;68.8761046524647
59;0;0;2;1;12;409.79776543901056;430.60380204748594;417.9804929602388;-199.89888271950528;0.28803265448988785;0.1360749023890525;64.49950373241089
60;0;0;2;2;8;455.2543889591895;480.22163288935997;465.0736619846634;-221.62719447959475;0.29855184370978854;0.1490033283520668;70.62757763887967
61;0;0;2;2;9;454.76350818910373;479.7307521192742;464.5827812145776;-221.38175409455187;0.2972440341021282;0.14884998238012387;70.55489164817871
62;0;0;2;2;10;452.7251889995671;477.69243292973755;462.54446202504096;-220.36259449978354;0.29806585075674763;0.1482168229266589;70.25477406723631
63;0;0;2;2;11;441.34408341328765;466.3113273434581;451.1633564387615;-214.67204170664382;0.294198827363415;0.14474917211769256;68.61110758378628
64;0;0;2;2;12;400.5201233806778;425.48736731084824;410.33939640615165;-194.2600616903389;0.2853944858578118;0.1328873262893441;62.988592661149106
65;0;0;2;3;8;435.4704868902197;464.5989381420853;446.92630541993924;-210.73524344510986;0.2926646001360597;0.14235705761377276;67.47724530892829
66;0;0;2;3;9;454.55889018244864;483.6873414343142;466.01470871216816;-220.27944509122432;0.2964374615312317;0.14817100211424716;70.23305500215315
67;0;0;2;3;10;454.0845213597925;483.2129726116581;465.54033988951204;-220.04226067989626;0.2972545042746691;0.1480188011829446;70.16091176071575
68;0;0;2;3;11;441.49644272075255;470.6248939726181;452.9522612504721;-213.74822136037628;0.29310723800398913;0.1441960116110563;68.34890950364068
69;0;0;2;3;12;377.68542228132947;406.813873533195;389.141240811049;-181.84271114066473;0.276718119997419;0.1262555916072857;59.845150421853425
70;0;0;2;4;8;437.8573559596397;471.14701453320026;450.94971999360484;-210.92867797981984;0.2925597321405987;0.14246938281684937;67.5304874551866
71;0;0;2;4;9;418.2870061375992;451.57666471115976;431.37937017156435;-201.1435030687996;0.2874698878602079;0.13684323962056164;64.86369558014621
72;0;0;2;4;10;455.9928989988923;489.2825575724529;469.0852630328575;-219.99644949944616;0.2972091958033929;0.14798941744650024;70.14698386964112
73;0;0;2;4;11;443.3079431937478;476.59760176730845;456.40030722771303;-213.6539715968739;0.2927804899528305;0.14412707384257334;68.31623300137976
74;0;0;2;4;12;370.6249097085805;403.9145682821411;383.7172737425457;-177.31245485429025;0.27480894381679644;0.12402281510043299;58.78681435760524
