,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
1,15.7,15.95,16.1,16.2,16.15,16.2,16.05,16.05,15.8,15.6,15.7,16
2,16.3,16.5,16.5,16.65,17,16.9,16.7,16.7,16.35,15.8,16,15.75
3,16.25,16.3,16.6,16.8,16.75,16.8,16.5,16.75,16.2,16,15.95,15.5
4,14.95,15.7,16.1,16.15,16.2,16.4,16.15,16.25,15.85,15.75,15.45,15.8
5,15.35,15.35,15.95,16.4,16.4,16.75,16.15,16.05,16.25,15.9,15.85,16.05
6,16.15,16.35,16.4,16.95,16.9,17.05,17.05,17.15,16.85,16.3,16.75,16.6
7,16.75,16.9,17.05,16.85,17.3,17.25,17.4,16.75,16.55,16.5,16.4,16.3
8,16.5,16.55,16.25,17.25,17.2,17,16.75,16.85,16.6,16.7,16.45,16.2
9,16.1,15.95,16.1,16.85,17.2,17.3,16.85,17.1,16.85,16.1,16.45,16
10,16.55,16.45,16.4,16.95,17.3,17.6,17.15,17.2,16.9,16.2,16.4,16.3
11,16.55,16.7,17,17.1,17.25,17.65,17.1,17,16.75,16.45,16.05,16.3
12,16.25,16.35,17.1,17.15,17.25,17.7,17.15,17.25,16.6,16.65,15.95,16.3
13,15.95,16.25,16.35,16.55,17.05,17.3,17.05,17.1,16.7,16.25,16,16.2
14,16,16.05,16.15,16.6,17,17,16.85,16.6,17.15,16,16.1,16
15,15.85,16.1,16.3,16.9,16.9,17.05,16.7,16.55,16.8,15.9,16.15,15.95
16,15.6,16.5,16.35,16.65,17.2,16.95,17.25,17.1,16.85,16.5,16.2,16.35
17,16.55,16.85,16.75,16.9,17.25,17.3,17.35,17.3,17.15,17.05,16.8,17.1
18,17,17.2,17.2,17.45,17.5,17.25,17,16.85,16.25,16.4,16.15,15.8
19,15.65,15.75,16.15,16.55,16.7,16.45,16.45,16.55,15.75,16.15,16.2,16
20,15.5,16.2,16.35,16.95,17,17.05,16.9,16.95,16.6,16.7,16.35,16.4
21,16.15,16.45,16.65,16.7,17.15,17.1,16.8,16.9,16.75,16.8,16.7,16.8
22,16.8,16.7,16.55,16.4,17.15,17,17.05,17.1,16.7,16.35,16.55,16.6
23,16.6,16.8,16.65,16.8,16.95,16.65,16.6,17,16.75,16.65,16.4,16.55
24,16.3,16.6,16.85,16.65,16.7,17.1,16.9,17.3,16.75,16.7,16.65,16.25
25,16.35,16.65,16.85,16.9,17,17.1,17.45,17.15,17.3,17.05,16.7,16.5
26,16.6,16.65,16.55,16.5,16.7,16.55,16.8,17,16.95,16.6,16.35,16
27,16.2,15.9,16.25,16.55,16.8,16.9,16.85,16.15,16.65,16.05,15.8,15.55
28,15.65,15.9,15.95,16.55,16.75,16.95,17,16.75,16.85,16.55,16.25,16.25
29,16.65,16.95,17.1,17.1,17.15,17.15,16.55,17.2,16.75,16.35,16,16.1
30,16.3,16.65,16.7,16.5,17.2,17.1,16.95,16.95,16.6,15.85,15.65,15.85
31,15.85,15.85,15.85,15.85,16.75,17,17,17.1,16.85,15.7,15.6,16.05
32,15.95,16,16.35,16.05,16.8,17.05,17.2,16.9,16.95,16.25,16.45,16.3
33,16.85,16.4,17.3,17.1,16.7,17.35,16.9,16.95,17.05,16.7,15.9,16.2
34,16.35,16.6,16.65,17.35,17,17.45,17.8,17.1,17,16.35,16.25,16.4
35,16.25,16.3,16.75,17.1,17.6,17.9,17.6,17.8,17.65,17.15,16.85,17.65
36,17,17.7,18.1,17.45,17.55,17.35,17.15,17.55,16.95,16.5,16,16.3
37,15.85,16.3,15.95,16.9,17,17.05,17.6,17.35,16.85,16.7,16.05,16.05
38,15.3,16.15,16.65,16.3,17,17.05,17,17,16.75,16,16.45,16.3
39,16.4,17.15,16.9,17.05,17.1,17.65,17.3,17.9,17.25,16.3,16.55,16.7
40,16.5,17.45,16.95,17.45,17.9,17.15,,,,,,
