,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
1,18.7,18.3,18.4,18.1,18.2,17.3,16.8,17.4,17.8,18.1,18.3,18.4
2,18.7,18.9,18.8,18.5,18.4,17.5,16.9,17.6,17.9,18.1,18.4,18.5
3,18.5,18.9,19.1,18.8,18.4,17.6,17.4,17.4,17.9,18.1,18.4,18
4,18.1,18.6,19,19,18.4,16.7,16.4,16.8,16.6,17.2,17.3,17.3
5,18.2,18.8,19.6,18.9,18.1,16.8,16.7,16.8,17.9,18.1,18.1,18.7
6,18.5,19,19.1,18.9,18.6,18,16.6,17.5,17.4,16.3,16.3,16.5
7,16.6,16.6,16.9,17,17.5,17.2,16.7,16.5,16.1,16.7,16.4,16.2
8,17.4,17.5,17.4,17.6,17.8,17.4,17.6,18.1,18.4,19,19.4,19.7
9,19.4,19.3,19.7,19.6,19.5,19.6,19.2,19.4,19.4,19.3,19.3,19.3
10,19.2,19.3,18.9,19.3,19.4,19.3,19.6,19.4,19.4,19.6,19.6,19.8
11,19.7,20.4,20,19.9,20.5,20.4,20.3,18.2,18.8,18.5,18.9,18.9
12,19,19.4,19.4,19.8,18.8,18.6,17.3,17.9,18,18.4,18.4,18.8
13,17.7,18.8,18.6,18.8,18.8,18.1,17.6,17.4,18,18.4,18.9,19.3
14,19,19.3,19.4,18.7,18.8,18.3,17.4,17.5,18.4,18.7,18.5,18.9
15,18.9,19.7,19.6,19.5,19.1,18.7,17.9,18.3,18.5,18.8,18.9,18.6
16,18.5,18.8,18.7,18.9,18.6,17.9,17.6,17.9,18.2,18.8,19,19
17,18.7,18.4,18.7,18.9,18.6,18.5,17.5,18.2,19,19.7,19.6,19.9
18,20.3,21.1,20.1,19.9,19.5,18.7,18.4,18.8,19.4,19.8,19.3,19.6
19,20,19.2,19.2,18.8,19,18.3,17.6,18,18.4,18.7,19.5,19.3
20,18.8,18.7,19.5,18.9,18.6,18.6,17.8,17.5,17.6,17.4,18.1,18
21,18.5,18.3,18.8,18.4,18.2,17.7,18,17.4,18.1,18.8,18.9,19.3
22,19,19.4,18.8,18.9,18.7,18,18.3,18,18.2,18.6,19.1,19.4
23,20.3,19.9,20.4,19.4,18.8,18.4,18.1,18.2,18.8,19.4,18.8,19.8
24,19.3,20.9,20.1,19.4,19,18.5,18.1,18.1,18.9,19.4,19.7,20.1
25,19.8,20.4,21.6,19.2,19.4,18.7,17.9,18.2,18.8,19.3,19.4,19.5
26,19.8,20,19.4,19.5,18.5,18.5,18,18.4,18.7,19.2,19.2,19.6
27,19.8,20.9,20.1,19.6,19.1,18.3,18.4,18.5,18.9,18.9,19.2,19.2
28,18.8,19,19.5,19.3,18.5,18.4,18.3,18.6,19.2,19.7,19.7,20.1
29,19.3,19.7,19.7,19.7,19.7,18.8,18.4,18.9,19.5,19.5,19.8,20.6
30,20.8,21.8,20.4,19.8,19.5,19.1,18.7,18.6,19.6,19.6,19.7,19.8
31,19.9,19.2,19.4,19.4,19.1,19.2,18.8,18.7,18.9,19.1,19.1,19.6
32,19.5,19.7,19,19,18.8,19,18.7,18.9,19.4,19.5,20.3,20.3
33,20.2,20.1,20.2,20.3,19.8,19.5,19.1,19.2,19.8,20.4,20.2,20.5
34,20.5,21,20.8,20.5,20.5,20,19.5,19.2,19.6,19.3,20.3,20.3
35,20.5,20.5,20.5,20,20.1,19.3,19.3,19.2,20.2,20.3,19.8,20.5
36,21.3,20.8,21.5,20.1,19.8,18.8,18.7,19.6,19.6,20,19.8,19.6
37,19.3,19.8,19.7,20.1,19.8,19.1,18.4,19.5,19.8,19.7,20.4,20.3
38,19.8,19.3,19.7,19,18.9,18.2,18.1,18.2,19.1,18.8,19.9,19.8
39,19.4,20.8,19.6,19.4,19.3,18.7,18.2,18,18.9,16.2,19.5,19.6
40,19.9,19.6,19.9,19.6,19.1,19,,,,,,
