,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
1,8.3,8.8,8.8,8.8,8.5,8.4,7.8,7.7,7.9,8.2,8.6,8.6
2,8.1,8.3,8.3,8.3,8.4,8.2,7.5,7.4,8.2,8.1,8.6,9
3,9.9,9.3,10,9.5,9.2,8.8,8.3,8.1,8.1,8.4,8.8,8.5
4,8,8.1,8.6,8.8,8.2,7.9,7.9,8.1,8.2,8.9,8.7,9
5,8.6,7.7,7.4,8.4,8.2,8,7.5,8,8.7,8.4,8.6,8.9
6,9.3,8.1,8.5,9,9,8,7.3,7.8,8.6,8.9,9.6,10.4
7,9.1,9.6,9.2,8.8,8.8,9.2,8.6,8.5,9.2,9.3,9.4,8.2
8,8.3,7.7,7.1,8.4,8.3,9.2,6.8,7.2,7.5,8.1,8.1,7.6
9,6.8,6.4,7.2,7.4,7.6,7.9,6.9,7.6,8.4,8.9,9.6,9.8
10,8.8,9.1,8.6,9.3,8.8,8.2,8,7.7,8.7,9.5,9.4,9
11,10.2,9.4,9.2,9,8.9,8.8,7.9,7.8,8.9,9.5,9.1,9.8
12,9.8,9.9,9.7,9.3,9.1,8.3,7.3,8.1,8.7,9.2,9.6,9.4
13,9.6,9.6,9.5,9.5,9.3,9.2,8.5,8.8,9.2,9.5,9.6,9.8
14,9.6,9.3,9.6,8.9,8.4,8.1,8,8,7.8,7.5,7.6,7.7
15,7.9,7.6,7.4,8.1,7.8,7.7,7.2,7.6,7.5,7.4,7.7,7.8
16,8,7.9,8,8,7.9,7.9,7.6,7.8,8.1,8.5,8.5,8.3
17,8.6,8.4,8.8,8.6,8.3,8.4,7.6,7.8,8.3,8.6,8.5,8.7
18,8.7,8.9,8.8,8.9,8.4,8.3,8.4,8.5,8.4,8.8,8.8,8.7
19,8.8,8.6,8.7,8.5,8.5,8.7,8.5,8.5,8.4,8.5,8.6,8.6
20,8.5,8.2,8.1,7.7,8,8.4,8.4,8.4,8.5,8.4,8.6,8.5
21,8.8,8.1,8.1,8.3,8.2,8,8.2,8,8.2,8.3,8.2,8.2
22,8.3,8.4,8.4,7.9,8.2,8,8.2,8.2,8.3,8.2,8.2,8.2
23,8.4,8.3,8.1,8,8,8.1,8,8.1,8.2,8.1,8.1,8.2
24,8.3,8.3,8.1,7.9,8,7.9,8.1,8.1,8.2,8.2,8.2,8.1
25,8.2,8.4,8.5,8.1,8.2,8.2,8.3,8.3,8.3,8.4,8.3,8.5
26,8.4,8.5,8.3,8.3,8.2,8.4,8.4,8.4,8.6,8.4,8.5,8.8
27,8.7,8.6,8.6,8.6,8.6,8.3,8,7.5,8.7,9,8.7,9.1
28,8.6,8.4,8.6,9.1,8.8,8.5,8.2,8.7,8.7,8.9,9.4,9.5
29,8.8,8.9,8.8,9,9,8.8,8.3,8.6,8.8,9,9,9
30,9,9.5,9.3,9.3,9.5,8.9,8.7,8.4,8.8,8.9,9,8.5
31,8.4,8.3,8.3,8.7,8.6,8.4,8,8,8.1,8.5,8.8,8.5
32,8.4,8.5,8.3,8.4,8.3,8.3,7.9,7.9,8.1,8.7,8.9,8.6
33,8.9,8.8,9,9,8.8,8.4,7.8,8.7,8.2,8.6,8.8,8.4
34,8.5,8.8,8.7,8.6,8.6,8.2,8,8,8.5,8.5,9,8.6
35,8.5,8.5,8.9,8.5,8.5,7.9,8.2,8.2,8.3,8.6,8.6,8.5
36,8.8,8.9,9.2,9,8.8,8.2,8,8.2,8.4,8.8,8.8,8.4
37,8.3,8.6,8.6,8.4,8.7,8.5,7.8,8.2,8.6,8.5,8.8,8.5
38,8.3,8.5,8.7,8.4,8.5,8,7.7,8.2,7,6.7,7.5,8.2
39,8.4,8.9,8.7,9,8.6,8.4,8,7.9,8.3,8.3,8.7,8.4
40,8.6,8.6,9.1,8.6,8.4,8.2,,,,,,
