,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
1,18.6,61.53333333,53.23333333,178.7833333,237.1166667,124.9666667,76.95,90.15,75.31666667,176.4333333,119.55,61.95
2,83.61666667,95.16666667,120.0166667,172.5833333,138.5166667,44.13333333,93.58333333,67.25,67.85,142.2166667,115.65,85.98333333
3,45.43333333,61.45,110.1833333,195.0333333,144.9333333,73.01666667,96.26666667,67.75,55.55,111.6,69.83333333,89.46666667
4,93.7,113.8333333,105.6333333,119.3,166.9666667,126.9833333,95.65,111.8166667,147.9666667,71.35,146.9666667,63.68333333
5,40.18333333,27.13333333,69.78333333,135.55,131.35,77.36666667,79.15,91.15,99.93333333,187.9,136.5833333,58.7
6,57.66666667,117.15,106.6166667,127.0333333,126.0666667,167.25,146.6,73.95,87.98333333,228.2833333,108.0333333,27.91666667
7,52.31666667,73.7,95.71666667,126.0666667,138.6,75.98333333,136.2333333,95,78.51666667,150.8333333,79.03333333,51.88333333
8,38.11666667,51.11666667,52.48333333,99.83333333,94.08333333,137.7833333,129.9833333,150.9666667,118.95,138.2833333,136.2166667,100.4333333
9,51.31666667,93.71666667,131.4666667,52.95,173.2666667,104.1333333,110.6166667,89.73333333,108.9,146.1,96.2,55.7
10,59.35,73.6,110.0833333,158.0666667,152.3833333,94.61666667,78.75,67.31666667,51.86666667,142.0666667,68.06666667,64.68333333
11,8.766666667,41.56666667,110.9333333,115.65,128.0833333,83.75,104.7,127.05,90.23333333,87.11666667,112.1333333,74.75
12,49.13333333,41.35,45.51666667,107.05,85.78333333,50.85,109.3,87.03333333,77.85,41.15,158.4666667,54.56666667
13,75,63.55,82.46666667,170.3333333,168.95,105.3666667,130.35,55.83333333,117.8666667,116.7,146.6666667,51.5
14,75.9,67.73333333,93.85,143.25,163.6333333,115.65,89.91666667,99.75,71.51666667,159.95,155.2666667,37.06666667
15,22.5,56.65,87.46666667,146.4833333,134.8,115.8,86.78333333,138,101.65,108.5166667,79.6,70.9
16,73.78333333,91.78333333,122.3666667,93.8,203.35,120.9833333,133.8,96.7,75.71666667,150.8166667,101.35,73.5
17,104.9666667,63.05,62.2,98.5,113.1666667,99.13333333,80.21666667,65.25,51.33333333,78.05,100.8166667,15.26666667
18,12.65,55.98333333,93.71666667,88.45,186.4166667,103.9833333,139.45,87.26666667,104.1333333,128.7,110.9,122.6166667
19,87.13333333,136.8666667,95.05,154.6833333,90.31666667,131.3,75.23333333,92.68333333,138.6833333,198.5,124.9833333,64.71666667
20,47.95,108.8166667,122.9,87.85,188.1833333,86.76666667,90.36666667,91.63333333,113.1166667,111.15,89.21666667,58.81666667
21,15.11666667,56.68333333,83.3,46.06666667,109.2666667,95.18333333,83.78333333,57.85,112.9,113.45,102.65,72.6
22,19.53333333,24.43333333,92.35,202.2833333,156.4333333,147.2833333,80.65,86.5,82.25,146.2,73.01666667,67.75
23,24.01666667,42.3,97.25,164.6666667,67.63333333,79.35,94.61666667,63.5,89,153.4166667,101.7,57.4
24,30.78333333,63,69.18333333,130.3166667,149.9666667,139.5833333,110.0333333,67.96666667,127.9166667,157.0666667,134.15,38.33333333
25,34.88333333,43.06666667,55.11666667,126.0166667,157.3166667,62.45,50.98333333,43.91666667,67.13333333,134.5666667,79.58333333,57.33333333
26,71.2,22.83333333,126.9166667,163.6166667,129.95,127.1666667,63.33333333,72.6,63.96666667,151.8166667,139.1166667,46.71666667
27,21.51666667,28,85.8,143.4833333,104.9833333,122.45,56.48333333,135.25,41.3,144.9,98.16666667,102.4333333
28,56.88333333,67.1,86.03333333,109.6,176.2666667,133.0333333,114.4,117.9,75.55,104.3,188.95,47.83333333
29,61.35,56.05,119.5333333,96.21666667,62.53333333,100.9666667,85.76666667,82.2,65.05,118.9666667,75.21666667,28.53333333
30,12.95,46.56666667,46.68333333,215.4833333,189.2,153.5666667,183.1166667,85.65,109.35,124.05,205.2,107.05
31,69.35,132.05,155.3,271.22,213.88,89.42,109.88,78.26,116.78,190.06,238.86,134.58
32,78.96,64.98,139.4,194.32,120.68,83.44,124.12,108.54,55.76,127.125,78.625,52.8
33,37.56,119.2,75.5,151.08,188.0333333,35.125,61.7,76,67.44,121.06,233.64,128.625
34,78,84.76,123.46,130.86,139.34,152.98,104.08,90.74,71.4,164.8,134.12,83.38
35,51.06,65.56,120.46,112.8,83.72,140.08,102.94,70.48,58.16,32.3,92.26,23.18
36,24.66,67.74,104.2,201.26,163.54,100.94,111.82,89.02,116.48,126.82,188.9,87.32
37,98.36,62.04,223.12,110.24,204.68,164.76,115.34,96.86,73.42,150.52,170.38,88.06
38,69.5,78.7,81.92,171.56,221.5,101.58,120.14,81.16,89.3,167.4,111.36,15.6
39,39.14,68.42,93.72,173.36,173.5,120.2,112.38,88.02,70.14,116.96,142.24,31.9
40,26,,,,,,,,,,,
