,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
1,17.25,17.4,17.6,17.6,17.7,17.3,17.2,17.75,17.9,17.5,17.15,17.3
2,16.85,17.6,17.7,17.5,17.3,18,17.7,18.65,18.3,17.4,17.55,17.6
3,18.6,18.75,18.65,18.05,18.15,18.05,18.25,18.5,17.9,17.7,17.5,16.65
4,16.25,16.55,17.05,16.85,16.85,16.8,16.3,16.9,16.45,16.7,16.5,17.35
5,16.45,16.8,17.5,17.4,17.05,17.45,16.9,17.05,17.3,17.05,16.8,16.85
6,17,16.7,16.75,17.3,17.6,17.2,17.45,17.45,17.5,17.1,17,17.5
7,17.75,18.05,17.95,17.95,18,18.65,18.4,18.35,18.2,17.7,18.1,18.45
8,18.05,18.1,18.15,17.85,17.85,17.75,17.55,17.75,17.4,17.85,16.95,16.65
9,17.05,17.05,17.15,17.95,18.05,17.35,17.9,18,17.9,17.6,17.7,17.35
10,17.5,17.35,18,17.7,17.9,18.55,17.7,18.55,18.4,17.25,17.6,17.15
11,17.35,18.2,17.85,17.75,18.1,18.25,17.9,17.6,18.25,17.8,17.4,17.7
12,18.2,18.6,19.35,18.75,18.4,18.55,18,18.4,18.3,18,17.5,17.45
13,17.6,17.3,17.3,18,17.85,18.55,18.3,18.5,17.5,17.7,16.85,17.05
14,16.85,17.3,17.05,17.5,17.4,17.45,17.85,17.95,18.4,17.35,16.7,17.05
15,18,18,17.45,17.65,17.6,17.5,17.6,17.75,18.45,17.65,17.2,17.1
16,16.9,16.85,17.35,17.5,17.55,17.9,18.55,18.4,18.45,17.55,17.45,17.25
17,16.75,18,18.35,18,18.5,18,19.3,19.25,18.9,18.35,18.5,18.6
18,18.85,19.35,19.55,19.2,18.75,18.65,18.1,18.4,18.45,18.35,17.4,17.3
19,17.1,17.2,17.6,17.8,17.5,17.35,17.8,17.8,17.3,17.25,17.45,17.05
20,16.85,16.95,17.1,17.45,17.5,17.5,17.5,17.95,17.35,17.8,17.7,17.75
21,17.15,18,17.55,18.35,18.15,18.4,18.7,18.9,18.15,19.1,17.9,17.55
22,17.9,18,18.1,17.85,18.25,17.6,18.25,18.5,18.5,18.35,17.45,17.9
23,17.95,17.9,17.75,17.95,18.05,17.4,17.7,18.1,18.65,18.2,17.7,17.55
24,17.7,18.1,18.7,17.9,18.1,18.3,17.8,18.85,18.35,18,17.2,17.05
25,17.65,17.8,17.45,18.25,18.3,18.65,19,18.95,19.15,18.1,18,17.1
26,17.5,17.95,17.8,17.8,18.1,17.9,18.85,19.05,18.65,18.65,17.65,17.85
27,18.4,18.7,18.1,17.8,17.65,17.7,17.45,17.5,17.95,17.5,17.45,17.05
28,17.25,16.95,17,17.45,17.35,17.55,17.45,17.55,18.05,17.55,17.25,17
29,17.25,17.4,17.7,17.8,18.05,18.25,18.35,19.05,19.4,18.8,18.45,18.3
30,18.8,19.05,19.05,18.7,18.8,17.9,17.65,18.25,18,17.85,16.7,16.75
31,17.5,17.6,17.55,17.65,18.2,18,17.8,18.5,18.35,17.5,17.9,17.5
32,17.3,17.4,17.95,17.9,18.4,18.55,19.05,18.95,19.2,18.45,18,17.65
33,18.6,17.9,18.6,18.75,18.2,18.55,18.2,18.55,19.05,18.45,18.1,18.25
34,18.45,18.15,18.2,19,18.2,18.6,19.3,18.45,18.9,18.6,18.25,18.3
35,18.45,18.5,18.35,18.5,19,19.15,19.05,19.85,20.15,19.35,18.65,19.4
36,17.4,17.6,19.2,18.9,19.05,18.5,18.5,19.35,19.2,18.75,18.5,18.1
37,17.85,18.35,17.9,18.85,18.5,18.35,18.2,18.6,19.15,18.6,18.35,18.4
38,17.95,18.65,18.7,18.55,18.35,18.25,18.6,18.9,19.35,18.85,18.45,18.7
39,18.65,18.9,19.05,18.8,18.55,18.75,18.85,19.6,19.4,18.15,18.35,18.6
40,18.95,18.9,19.2,18.9,19.05,18.75,,,,,,
